,Name,Quiescent_Background,Quiescent_Background_Error,Average_Source_Flux (0.2-5 MeV)
69,4FGL J0103.5+5337,-3333,-3333,2.889388737206082e-08
70,4FGL J0103.8+1321,-3333,-3333,3.886260596510175e-09
71,4FGL J0104.8-2416,4.2494705882352944e-08,6.49566080235562e-09,2.55279450760624e-06
72,4FGL J0105.1+3929,5.260634146341464e-08,2.8994474394191415e-09,2.518628377384264e-06
73,4FGL J0107.4+0334,-3333,-3333,8.848529567908601e-07
74,4FGL J0108.6+0134,2.3078148414985592e-07,1.999115554607298e-09,4.1855811905201485e-06
75,4FGL J0109.7+6133,1.742558888888889e-07,3.503484382938594e-09,1.6108616887986539e-06
76,4FGL J0112.0-6634,-3333,-3333,3.556561581735574e-06
77,4FGL J0112.1+2245,7.4044656e-08,1.2691088834260017e-09,1.8775122195889488e-06
78,4FGL J0112.8+3208,1.0720978365384616e-07,1.931585426878042e-09,6.410145066160672e-06
79,4FGL J0113.1-3553,4.519885245901639e-08,3.766994212289347e-09,1.883810834127621e-06
80,4FGL J0113.4+4948,-3333,-3333,1.1804249939316455e-06
81,4FGL J0114.0+6418,1.489243636363636e-07,1.0299492204393735e-08,3.960829413126343e-09
82,4FGL J0114.8+1326,6.315450413223141e-08,2.6979174558890484e-09,7.157417654298347e-06
83,4FGL J0115.1+2622,-3333,-3333,2.613932415690169e-07
84,4FGL J0115.1-0129,-3333,-3333,2.85907233165359e-05
85,4FGL J0115.8+2519,-3333,-3333,3.1539260851553777e-06
86,4FGL J0116.0-1136,6.613081632653061e-08,4.102747325764166e-09,4.6011824415462625e-05
87,4FGL J0117.8-2109,5.142403225806452e-08,2.7006161904276585e-09,3.3952714429778135e-07
88,4FGL J0118.3-6008,3.900647058823529e-08,4.727183646156536e-09,1.7229669434234777e-07
89,4FGL J0118.7-0848,6.902656250000001e-08,5.061891032845568e-09,3.9490628990027386e-07
90,4FGL J0118.9-2141,5.801187134502923e-08,1.7322016251664357e-09,7.310444169797003e-06
91,4FGL J0120.4-2701,-3333,-3333,3.9865142720403793e-07
92,4FGL J0124.8-0625,5.3856410256410255e-08,5.9656510646366176e-09,3.479373182460061e-07
93,4FGL J0125.3-2548,-3333,-3333,2.2637058758853344e-07
94,4FGL J0126.0-2221,-3333,-3333,7.884623711359395e-07
95,4FGL J0126.8+2412,-3333,-3333,1.6539309818147254e-05
96,4FGL J0127.2+0324,-3333,-3333,5.892292509627788e-08
