0,1,2
0,0,0
0,0.0,0
4FGL J0253.9+5103,0.002285714285714286,FSRQ
4FGL J1037.4-2933,0.003977272727272727,FSRQ
4FGL J2153.8-1137,0.0040137614678899085,FSRQ
4FGL J0354.7+8009,0.006329113924050633,BLL
4FGL J1942.1+4011,0.009378663540445486,BCU
4FGL J1840.6-5545,0.014012738853503185,BCU
4FGL J1424.8-6808,0.014845605700712588,BCU
4FGL J0751.0-5131,0.022909507445589918,BCU
4FGL J2313.5+3945,0.024054982817869417,BCU
4FGL J0748.6+2400,0.02508551881413911,FSRQ
4FGL J0638.6+7320,0.0319634703196347,FSRQ
4FGL J1617.3-5849,0.03555045871559633,FSRQ
4FGL J0004.4-4737,0.0375,FSRQ
4FGL J1016.0+0512,0.042725173210161664,FSRQ
4FGL J0830.8+2410,0.04440599769319492,FSRQ
4FGL J0521.2+1637,0.04487917146144994,None
4FGL J0236.8-6136,0.04597048808172531,FSRQ
4FGL J0733.6+3649,0.04633867276887872,BCU
4FGL J0325.5-5635,0.04700352526439483,BLL
4FGL J1047.7+7238,0.047212741751990896,BLL
4FGL J1050.1+0432,0.04783599088838269,FSRQ
4FGL J2024.6-3252,0.048,FSRQ
4FGL J1359.1+5544,0.04965753424657534,FSRQ
4FGL J1534.8+0131,0.05063291139240507,FSRQ
4FGL J1312.6+4828,0.051903114186851215,BCU
4FGL J2136.2+0032,0.05389908256880734,FSRQ
4FGL J0540.8-5415,0.054461181923522596,FSRQ
4FGL J0032.3-5522,0.054819277108433734,BCU
4FGL J0104.8-2416,0.05555555555555555,FSRQ
4FGL J0852.5-5755,0.055872291904218926,BCU
4FGL J1121.4-0553,0.05618615209988649,FSRQ
4FGL J1153.4+4931,0.05778032036613273,FSRQ
4FGL J1350.8+3033,0.06091954022988506,FSRQ
4FGL J2234.7+0943,0.062002275312855515,None
4FGL J0217.4+7352,0.06709451575262544,FSRQ
4FGL J1716.1+6836,0.06890660592255125,FSRQ
4FGL J1058.6+2817,0.07297949336550061,BLL
4FGL J1923.5-2104,0.07373271889400922,FSRQ
4FGL J0243.4+7119,0.07377979568671963,BLL
4FGL J2201.8+5048,0.07394766780432309,FSRQ
4FGL J2237.6-5126,0.0741822429906542,None
4FGL J0347.7-3616,0.08083140877598152,BCU
4FGL J0051.5-4220,0.08180778032036613,FSRQ
4FGL J2206.8-0032,0.08227848101265822,BLL
4FGL J1732.7-5050,0.08256880733944955,None
4FGL J1807.9-6412,0.08395522388059702,FSRQ
4FGL J0145.0-2732,0.08600917431192662,FSRQ
4FGL J0532.0-4827,0.08896797153024912,BLL
4FGL J1322.6-0936,0.09107806691449814,FSRQ
4FGL J0931.9+6737,0.09127906976744186,None
4FGL J1153.3-1104,0.09216589861751151,BCU
4FGL J1023.1+3949,0.09548611111111112,FSRQ
4FGL J0505.3+0459,0.0958904109589041,FSRQ
4FGL J1135.1+3014,0.09942528735632183,BLL
4FGL J1933.2-4539,0.10069848661233993,FSRQ
4FGL J2014.3-0047,0.10084541062801933,BLL
4FGL J1514.7-3617,0.10232558139534884,BCU
4FGL J2250.0-1250,0.10294117647058824,BCU
4FGL J1801.5+4404,0.10342857142857144,FSRQ
4FGL J0746.6-4754,0.1062857142857143,BLL
4FGL J0133.1-5201,0.1075085324232082,FSRQ
4FGL J2141.7-6410,0.10787671232876712,BCU
4FGL J0231.2-4745,0.10806074766355139,FSRQ
4FGL J0543.9-5531,0.10894495412844038,BLL
4FGL J1518.0-2731,0.1103448275862069,BLL
4FGL J1118.2-0415,0.11064593301435406,None
4FGL J1808.2+3500,0.11079545454545454,BLL
4FGL J1311.0+3233,0.11316397228637415,FSRQ
4FGL J2035.4+1056,0.11534025374855825,FSRQ
4FGL J1419.8+5423,0.11657142857142856,BLL
4FGL J1332.0-0509,0.11691259931895573,FSRQ
4FGL J0206.4-1151,0.11945392491467577,FSRQ
4FGL J0205.0-1700,0.11975028376844495,FSRQ
4FGL J1104.4+0730,0.1217142857142857,BLL
4FGL J0001.5+2113,0.12271689497716895,FSRQ
4FGL J0253.2-5441,0.12700228832951946,FSRQ
4FGL J1829.2-5813,0.12717770034843207,FSRQ
4FGL J1457.4-3539,0.1277205040091638,FSRQ
4FGL J0239.7+0415,0.12816091954022987,FSRQ
4FGL J0324.8+3412,0.12884834663625996,None
4FGL J0112.8+3208,0.13060989643268128,FSRQ
4FGL J0515.6-4556,0.13133640552995393,FSRQ
4FGL J1443.9+2501,0.1325714285714286,FSRQ
4FGL J2151.8-3027,0.13522727272727272,FSRQ
4FGL J1811.3+0340,0.13625866050808313,BLL
4FGL J0608.1-1521,0.1362599771949829,FSRQ
4FGL J0839.8+0105,0.1375442739079103,FSRQ
4FGL J1006.7-2159,0.13844393592677345,FSRQ
4FGL J1058.5+8115,0.14126611957796015,FSRQ
4FGL J2219.2+1806,0.14204545454545456,FSRQ
4FGL J1506.1+3731,0.1444063926940639,FSRQ
4FGL J2327.5+0939,0.14472190692395004,FSRQ
4FGL J1637.7+4717,0.14473684210526316,FSRQ
4FGL J0203.7+3042,0.14641203703703703,BLL
4FGL J0449.1+1121,0.1465909090909091,FSRQ
4FGL J2328.3-4036,0.14959723820483317,FSRQ
4FGL J0315.9-1033,0.1497695852534562,FSRQ
4FGL J0222.0-1616,0.15296803652968038,FSRQ
4FGL J2321.9+3204,0.15353418308227115,FSRQ
4FGL J1007.6-3332,0.1541095890410959,FSRQ
4FGL J0654.4+4514,0.1563231850117096,FSRQ
4FGL J1038.8-5312,0.15888382687927108,FSRQ
4FGL J0911.0-5047,0.15919540229885057,BCU
4FGL J1902.9-6748,0.1595622119815668,FSRQ
4FGL J1507.2+1721,0.16073546856465007,BLL
4FGL J0034.0-4116,0.16087962962962962,BCU
4FGL J1532.7-1319,0.16213017751479292,BCU
4FGL J0252.8-2219,0.1636259977194983,FSRQ
4FGL J2244.2+4057,0.164391353811149,FSRQ
