,Name,Photon Flux (ph/cm2/s),Photon Count,Duration (s),Background Counts,Start Time (s),Start Time (MJD),Class,Duration (weeks),MDP99,Fluence (ph/cm2)
266,4FGL J1044.6+8053,0.0034187524706536837,175780.44885783643,9374400.0,93744.0,4773902401.0,55253.50001157408,FSRQ,15.5,4.223422717849267,32048.753160895893
273,4FGL J0746.4+2546,0.003639652902565104,187936.90798578755,161481600.0,1614816.0,4726425601.0,54704.00001157408,FSRQ,267.0,10.21626295083458,587736.9741508571
320,4FGL J0433.0+0522,0.0016945612895671747,87662.31949404867,65923200.0,659232.0,4847083201.0,56100.50001157408,None,109.0,14.097842619216896,111710.90280439478
329,4FGL J0324.8+3412,0.011950436956132824,616354.3652056585,80136000.0,801360.0,4732473601.0,54774.00001157408,None,132.5,2.762485017652375,957660.21591666
