Name,ph/s_ratio,Aeff_mean_LAT(cm2),Aeff_mean_COSI(cm2)
4FGL J0538.8-4405,4.823838162575355,1091.581547048923,13.49652408988278
4FGL J1104.4+3812,0.055014095053620996,1527.2110113760727,12.954834312452517
4FGL J1653.8+3945,0.561963750012882,1553.4686223740835,13.546266638111929
4FGL J0136.5+3906,0.2224041285737496,1692.9894546317314,13.558217754072292
4FGL J0156.9-5301,3.1399802747970287,1656.752838981001,13.583065266373683
4FGL J0244.6-5819,2.9873854349954927,1643.0145740347714,13.575611718483586
4FGL J0710.4+5908,2.700803656186272,1263.1166515422833,13.518313635666775
4FGL J1136.4+6736,6.414656424030513,1637.552130547635,13.579919198875073
4FGL J1221.3+3010,0.029845782718607754,1624.5219550811878,12.980624722524963
4FGL J1800.6+7828,10.652312312047602,1056.011659855886,13.55166008904879
4FGL J2000.0+6508,2.2087149587551704,1202.2630456998572,13.468114516639865
4FGL J2253.9+1609,19.37954423113313,995.2936871605183,13.56523910119582
4FGL J2229.7-0832,30.44410562821506,971.3799544774423,13.586693849984636
4FGL J2147.3-7536,22.21666846713178,986.5057681621034,13.570311783450975
4FGL J1642.9+3948,29.15375866599656,979.8431861833556,13.60412539253945
4FGL J1626.0-2950,26.224192058372882,975.8118829919196,13.57607106780231
4FGL J1512.8-0906,15.74196912942913,991.9496087600827,13.52991189541929
4FGL J1256.1-0547,9.77253194568412,1017.4060793503531,13.491268336325842
4FGL J1229.0+0202,119.91124502392178,940.3142124836608,13.617515031849658
4FGL J1224.9+2122,13.714685987222566,1028.3441607753775,13.558095709235388
4FGL J1153.4+4931,43.67297827082344,997.4093702368402,13.599890360801357
4FGL J0841.3+7053,115.38263065303774,916.1850005357875,13.62056977334787
4FGL J0530.9+1332,43.76158647468753,947.7431789682455,13.596327051016944
4FGL J0403.9-3605,17.32182404641505,997.8184933862377,13.55552474941959
4FGL J2327.5+0939,92.06982603728139,911.6106496485614,13.618408609519925
4FGL J2151.8-3027,157.3910815742006,902.3171732335899,13.635768053113543
4FGL J1924.8-2914,47.264662028421434,998.7331566444432,13.598295288219909
4FGL J1357.1+1921,159.13814711412468,920.5093776021035,13.613267801417141
4FGL J1332.0-0509,27.810485803621823,987.2937348222213,13.590890837170654
4FGL J1222.5+0414,86.91388535625431,925.0487957167777,13.63107636124175
4FGL J1159.5+2914,30.983405453480344,930.271293895856,13.36778310993874
4FGL J1129.8-1447,112.6932948096084,956.3864483479113,13.601332072426144
4FGL J1044.6+8053,35.60664716214138,809.3223961741155,13.14999320024434
4FGL J0805.4+6147,110.46763434324926,920.2987634480799,13.657544789647968
4FGL J0746.4+2546,853.7627159185471,826.4291533225552,13.563202185326723
4FGL J0635.6-7518,119.57505282503799,943.7246539720788,13.607695103026787
4FGL J0539.9-2839,91.0482315430761,920.1910330609717,13.636413614072893
4FGL J0405.6-1308,70.56646659512892,951.2364256308939,13.615289011549002
4FGL J0217.4+7352,145.8444931629272,901.543576712591,13.63660070345012
4FGL J0304.5+3349,300.0988345097366,875.0930621097575,13.6129565540665
4FGL J1941.3-6210,20.019026697466025,1000.9404247940939,13.576804280693782
4FGL J0522.9-3628,46.58914152031595,994.0677431430956,13.600653482111953
4FGL J0433.0+0522,123.16887367040718,850.9004544648514,13.555712839463071
4FGL J0319.8+4130,12.8990130703578,1059.6092098590323,13.566199392380891
4FGL J0312.9+4119,75.90851029086458,958.80671384221,13.634890953086991
4FGL J0324.8+3412,84.94037454359832,821.2073721467609,13.230100603067239
4FGL J1829.5+4845,26.991657914531583,999.0803790609126,13.595017577016435
4FGL J2009.4-4849,0.06406040560627899,1547.899945045369,13.143304940077675
4FGL J0507.9+6737,0.4245405219514573,1714.2616340290876,13.554509250736917
4FGL J0325.5-5635,0.9576261493946865,1431.2157537408696,13.533225410961942
4FGL J0608.9-5456,368.3857155132298,867.3947305467054,13.705638728826816
4FGL J0923.5+3852,97.47938312028181,912.9919910817198,13.625572281340014
4FGL J1849.2+6705,14.814888043081956,1036.2662273916264,13.568381491046408
4FGL J0224.9+1843,145.34913294945292,932.892848119845,13.624506482246408
4FGL J0336.4+3224,122.00859772935594,931.3272129104437,13.62880863814392
4FGL J2056.2-4714,24.947198702029866,1007.0331836863326,13.589021219510073
4FGL J2148.6+0652,203.63650082767697,920.3296690448462,13.60614164999375
4FGL J0836.5-2026,104.10784923007951,924.9566601928204,13.648990822646885
4FGL J1740.5+5211,30.959427362218822,988.2996178181592,13.59529801162967
4FGL J1459.0+7140,71.94176542044424,969.0092043795524,13.607888388365366
4FGL J0721.9+7120,4.592763433497861,1083.6922457386204,13.456386825847188
4FGL J2202.7+4216,10.506673362169492,1067.5422871288024,13.555272464118037
4FGL J2232.6+1143,9.049429172582803,1019.1957593015073,13.482545259653511
4FGL J1337.6-1257,44.81450819320456,1001.6398707991764,13.597652260029061
