,Name,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),MDP99,Start Time (MJD),Start Time (s)
0,4FGL J0538.8-4405,2.9617149374972718e-09,0.07561613641223035,0.05086351551003237,2553120.0,25531200.0,42.214285714285715,44922641.13850805,54683.00001157408,4724611201.0
1,4FGL J0538.8-4405,1.1917052596993498e-08,0.9699146104061844,0.20465953084372715,8138880.0,81388800.0,134.57142857142858,19933629.9327103,54981.50001157408,4750401601.0
2,4FGL J0538.8-4405,3.3265339057911027e-09,0.18710555667868867,0.05712879614769144,5624640.0,56246400.0,93.0,59364707.56149495,55926.50001157408,4832049601.0
3,4FGL J0538.8-4405,7.196609966642418e-10,0.012124848471799145,0.012359220599646496,1684800.0,16848000.0,27.857142857142858,150182431.68748078,56802.50001157408,4907736001.0
4,4FGL J0538.8-4405,3.6373701607564826e-10,0.0029226996715710487,0.006246699547111183,803520.0,8035200.0,13.285714285714286,205203028.88336292,57012.50001157408,4925880001.0
5,4FGL J0538.8-4405,9.803923316495266e-10,0.02248941577417482,0.01683693455282727,2293920.0,22939200.0,37.92857142857143,128635888.11219488,57363.50001157408,4956206401.0
6,4FGL J0538.8-4405,5.334215931609267e-10,0.00781185254752314,0.009160806508966047,1464480.0,14644800.0,24.214285714285715,188905260.0996741,57708.50001157408,4986014401.0
7,4FGL J0538.8-4405,8.104971089996462e-10,0.008298193600781979,0.01391921003352061,1023840.0,10238400.0,16.928571428571427,103953112.84199287,58472.00001157408,5051980801.0
8,4FGL J0538.8-4405,3.2723022477044864e-09,0.15691343738192554,0.05619743953828246,4795200.0,47952000.0,79.28571428571429,55721509.63948553,58611.50001157408,5064033601.0
9,4FGL J0538.8-4405,1.959099498782237e-10,0.0007616978851265337,0.003364492864604015,388800.0,3888000.0,6.428571428571429,265020553.0156192,59277.50001157408,5121576001.0
10,4FGL J0538.8-4405,5.908608087085276e-10,0.0052071381349865125,0.010147248652300168,881280.0,8812800.0,14.571428571428571,132295384.98631021,59337.50001157408,5126760001.0
11,4FGL J0538.8-4405,3.452145685882614e-09,0.13332462810533527,0.05928601142997187,3862080.0,38620800.0,63.857142857142854,47401757.06606926,59442.50001157408,5135832001.0
12,4FGL J1104.4+3812,1.8335738114244753e-05,175.8470628108529,400.0099477937942,959040.0,9590400.0,15.857142857142858,3501.6614754381367,54924.50001157408,4745476801.0
