Name,ph/s_ratio,Aeff_mean_LAT(cm2),Aeff_mean_COSI(cm2)
4FGL J0538.8-4405,6.611759101636506,8817.200577026413,66.2564436038529
4FGL J1104.4+3812,3.146307825427657,5836.92523385136,84.16613750489628
4FGL J1653.8+3945,9.176401544414354,5847.189302123679,85.21258189352922
4FGL J0136.5+3906,4.210261178428058,6288.797330934773,85.18452094785201
4FGL J0156.9-5301,23.19988435359937,6090.475724808125,85.52604626385288
4FGL J0244.6-5819,24.4985539206049,6062.26719518345,85.52162941217033
4FGL J0710.4+5908,65.84183067713147,5993.2188587869705,85.57759572939295
4FGL J1136.4+6736,37.10689370379628,6010.786140350358,85.555023774412
4FGL J1221.3+3010,1.8087854158367982,6116.087670920638,83.94241620217386
4FGL J1800.6+7828,5.336666981652521,6624.5267437297825,80.13547700504672
4FGL J2000.0+6508,2.983840967008993,5868.139466088627,84.23256950314719
4FGL J2253.9+1609,6.137620372110148,6724.303285038783,79.7222330985686
4FGL J2229.7-0832,13.501404976987708,6767.273062778563,79.5426233433872
4FGL J2147.3-7536,10.753261459338248,6907.742823455192,78.94801035309574
4FGL J1642.9+3948,27.911667006597256,7656.401761007581,75.49069834268961
4FGL J1626.0-2950,15.797002765485857,7113.886124194475,78.05162773148254
4FGL J1512.8-0906,6.983210368564366,7159.877257322663,77.84713984721752
4FGL J1256.1-0547,4.906699027197322,7382.940975700986,76.8265987097776
4FGL J1229.0+0202,53.5085038252406,5949.06078403557,82.79517238678564
4FGL J1224.9+2122,5.387770567797063,6708.954478080852,79.7861452559753
4FGL J1153.4+4931,15.643745847818847,5960.136190863696,82.75388487583186
4FGL J0841.3+7053,24.386924062665578,6051.3303532018135,82.4102157508688
4FGL J0530.9+1332,28.136921609765675,7302.27608181962,77.20164154672652
4FGL J0403.9-3605,5.50893668052311,6800.549817742718,79.40281901622521
4FGL J2327.5+0939,41.95872915391613,6812.788210387839,79.35124226741148
4FGL J2151.8-3027,55.969931371733935,6234.827334461527,81.70143140330026
4FGL J1924.8-2914,12.677032114789455,5822.596699009851,83.25864711403527
4FGL J1357.1+1921,24.57547194680477,5776.284133340832,83.42424580421405
4FGL J1332.0-0509,13.136188751927028,6619.778017003673,80.15501612077223
4FGL J1222.5+0414,45.00137588991501,6680.220068150658,79.90545634445073
4FGL J1159.5+2914,3.476808181969496,5282.618861889067,84.96286745515042
4FGL J1129.8-1447,29.036052416358885,5723.303523417615,83.61053136462554
4FGL J1044.6+8053,15.896474762030847,4516.189449712595,85.01413280005117
4FGL J0805.4+6147,77.79037895388939,7001.141965805579,78.54570168073386
4FGL J0746.4+2546,109.88748805229224,4634.97653497653,85.37688904922558
4FGL J0635.6-7518,18.056634555783575,5766.787292528049,83.45789501807101
4FGL J0539.9-2839,55.724475859244414,7042.984030420205,78.36347619674162
4FGL J0405.6-1308,20.02194916821335,6121.812037045486,82.14048304677483
4FGL J0217.4+7352,56.98032405656906,6387.183420901548,81.09831155935528
4FGL J0304.5+3349,38.393657153276536,5694.575636770293,83.71000317473559
4FGL J1941.3-6210,17.132590041814506,7196.577112032764,77.68263207945157
4FGL J0522.9-3628,11.266893471514638,5937.348590365166,82.83872022557895
4FGL J0433.0+0522,47.53810753703226,4731.268165181874,85.53500674488684
4FGL J0319.8+4130,1.6387607918621254,6220.189137838974,81.75872143283672
4FGL J0312.9+4119,87.96647766945428,6629.5415598286045,80.11483057023271
4FGL J0324.8+3412,27.099146369853994,4595.130651540217,85.27758805515295
4FGL J1829.5+4845,20.70344653345286,6614.735497002672,80.17575153628165
4FGL J2009.4-4849,3.275422874992081,5884.018594028166,84.48548123473984
4FGL J0507.9+6737,7.6006674888636265,6383.815925412604,85.41040734667288
4FGL J0325.5-5635,13.4257097829438,5522.18772156634,85.12122267509076
4FGL J0608.9-5456,35.28928733536275,4880.727887173701,85.58838397134097
4FGL J0923.5+3852,43.974369617339775,6697.310023601303,79.83454822740593
4FGL J1849.2+6705,5.691461516262017,6512.512677369829,80.59335734256885
4FGL J0224.9+1843,97.8070695791669,6032.167717274739,82.48295433501637
4FGL J0336.4+3224,60.73846217736308,6122.936824613037,82.1361517817282
4FGL J2056.2-4714,6.451841222052293,6328.026227088704,81.33393271507286
4FGL J2148.6+0652,34.938657929411896,5672.760230332233,83.78476319847441
4FGL J0836.5-2026,69.1870515010125,6764.488623716623,79.55429305864901
4FGL J1740.5+5211,9.573464693579021,6380.227042903592,81.12611059833418
4FGL J1459.0+7140,29.5742426140198,5942.5308986710825,82.81946611024128
4FGL J0721.9+7120,5.455191370041211,7939.563553951305,73.96003430459542
4FGL J2202.7+4216,4.606719408624266,6412.347630350925,80.99754820605554
4FGL J2232.6+1143,3.9345897792334648,7344.938429386475,77.00420843803417
4FGL J1337.6-1257,10.075881863786178,5793.894914298149,83.3615640565322
4FGL J0428.6-3756,1239735864.8120914,6703.6787173770945,79.80808419200397
