Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr,ThresholdPercent
4FGL J0221.1+3556,3326400.0,4398.928428189848,0.2727272727272727,0.9166666666666666,831600.0,297.22956227587923,FSRQ,1076.5269771745925,0.00032363124614435805,56202.00001157408,0.0002848504075289683,0.0004478672070184382,56200.0,56250.0,1.24e-06,1.24e-06,3.749038209994665e-08,0.5
4FGL J0319.8+4130,604800.0,3208.9882807040462,0.0,0.010101010101010102,151200.0,175.107277208026,FSRQ,763.675819976891,0.0012626915012845421,57906.50001157408,0.0006144555546465938,0.0012626915012845421,57700.0,58400.0,8e-07,5.675764705882353e-07,7.239857043908049e-09,0.5
4FGL J0319.8+4130,3024000.0,11100.532260611437,0.0,0.050505050505050504,756000.0,112.8283861420335,FSRQ,2641.7073964640617,0.0008735804882486977,57948.50001157408,0.0006144555546465938,0.0009444932429608375,57700.0,58400.0,8e-07,5.675764705882353e-07,7.239857043908049e-09,0.5
4FGL J0319.8+4130,1209600.0,4312.880249266238,0.0,0.020202020202020204,302400.0,183.6261991300227,FSRQ,1026.3803020489415,0.0008485286888632122,57997.50001157408,0.0006144555546465938,0.0008939855829094558,57700.0,58400.0,8e-07,5.675764705882353e-07,7.239857043908049e-09,0.5
4FGL J0319.8+4130,5140800.0,24599.676294773126,0.0,0.08585858585858586,1285200.0,66.52870725002649,FSRQ,5854.2370125001835,0.001138779375291819,58211.00001157408,0.0006144555546465938,0.0017677681017983589,57700.0,58400.0,8e-07,5.675764705882353e-07,7.239857043908049e-09,0.5
4FGL J0403.9-3605,4233600.0,44508.04691534362,0.42857142857142855,0.16666666666666666,1058400.0,33.741715013241816,FSRQ,10602.909160129282,0.002504466449388058,59978.50001157408,0.0009132149701623414,0.0031456537022948477,59900.0,60200.0,1e-06,4.967222222222222e-07,8.256947845800458e-09,0.5
4FGL J0403.9-3605,604800.0,4415.094369428688,0.0,0.023809523809523808,151200.0,127.76794418198583,FSRQ,1051.7838408297464,0.0017390605833825172,60041.50001157408,0.0009132149701623414,0.0017390605833825172,59900.0,60200.0,1e-06,4.967222222222222e-07,8.256947845800458e-09,0.5
4FGL J0442.6-0017,604800.0,277.6997670786872,0.0,0.07692307692307693,151200.0,2004.1714573669192,FSRQ,69.0899958812963,0.00011423610430108517,56457.50001157408,7.031515312118544e-05,0.00011423610430108517,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08,0.5
4FGL J0442.6-0017,1209600.0,782.8016393417075,0.0,0.15384615384615385,302400.0,1005.8578089621142,FSRQ,194.7562383898786,0.00016100879496517743,56492.50001157408,7.031515312118544e-05,0.00017485118005268135,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08,0.5
4FGL J0442.6-0017,4233600.0,2173.7799369412032,-0.5714285714285714,0.1,1058400.0,677.471304168996,FSRQ,540.823092759586,0.00012774543952182209,60384.50001157408,5.362284991594784e-05,0.00020107885706058357,60300.0,60800.0,6e-07,2.609576923076923e-07,7.598897729737727e-09,0.5
4FGL J0442.6-0017,1209600.0,623.7618492673063,-0.5,0.02857142857142857,302400.0,1261.9890056640286,FSRQ,155.18811574867703,0.00012829705336365495,60447.50001157408,5.362284991594784e-05,0.00014862350304477916,60300.0,60800.0,6e-07,2.609576923076923e-07,7.598897729737727e-09,0.5
4FGL J0442.6-0017,1814400.0,854.7060433174391,0.0,0.04285714285714286,453600.0,1127.8843361203428,FSRQ,212.64561232342857,0.00011719886040753337,60734.50001157408,5.362284991594784e-05,0.00012108444218648184,60300.0,60800.0,6e-07,2.609576923076923e-07,7.598897729737727e-09,0.5
4FGL J0538.8-4405,4233600.0,5318.946512923453,0.0,0.0546875,1058400.0,277.2833943258773,FSRQ,1272.1830010980202,0.0003004967406221703,55267.50001157408,0.00013903326793222967,0.0003297194619582423,55200.0,56100.0,7e-07,2.6952717391304346e-07,4.445774052474568e-09,0.5
4FGL J0539.9-2839,1814400.0,22723.363493864403,0.3333333333333333,0.04477611940298507,453600.0,43.43245354059686,FSRQ,5383.261906821671,0.0029669653366521556,59194.50001157408,0.0011817121071296375,0.003723089466768494,59100.0,59600.0,2e-07,1.44418e-07,5.463458000017446e-09,0.5
4FGL J0539.9-2839,9676800.0,83875.01899051058,-0.6875,0.23880597014925373,2419200.0,26.97368856723385,FSRQ,19870.35039013816,0.002053400957975587,59299.50001157408,0.0011817121071296375,0.0035258396936946666,59100.0,59600.0,2e-07,1.44418e-07,5.463458000017446e-09,0.5
4FGL J0841.3+7053,1209600.0,42907.60673025979,-0.5,0.014084507042253521,302400.0,19.584154144368316,FSRQ,10176.654185980142,0.008413239241055012,57227.50001157408,0.001891676294662806,0.012925476298150225,57000.0,58000.0,4e-07,2.0058288288288291e-07,3.5470838797165335e-09,0.5
4FGL J0841.3+7053,6652800.0,188547.26215203464,0.0,0.07746478873239436,1663200.0,10.320640787019643,FSRQ,44718.88391951291,0.0067218139609657454,57297.50001157408,0.001891676294662806,0.020244721912765412,57000.0,58000.0,4e-07,2.0058288288288291e-07,3.5470838797165335e-09,0.5
4FGL J0841.3+7053,1209600.0,19676.741448258883,0.0,0.014084507042253521,302400.0,41.24416734055046,FSRQ,4666.850670201906,0.0038581768106827927,57451.50001157408,0.001891676294662806,0.003978866499008894,57000.0,58000.0,4e-07,2.0058288288288291e-07,3.5470838797165335e-09,0.5
4FGL J0904.9-5734,2419200.0,1859.8641428639628,0.0,0.0975609756097561,604800.0,598.8629532519207,FSRQ,467.7568959145588,0.0001933518914990736,58928.50001157408,4.122791244129078e-05,0.00025356678227959163,58800.0,59100.0,2e-06,4.916000000000001e-07,9.110224656608946e-09,0.5
4FGL J1129.8-1447,604800.0,10870.804530824447,0.0,0.0070921985815602835,151200.0,52.95741096755948,FSRQ,2581.496648315397,0.004268347632796622,59656.50001157408,0.002735606773615545,0.004268347632796622,59500.0,60500.0,5e-07,3.0414921875e-07,5.266452040636879e-09,0.5
4FGL J1129.8-1447,3024000.0,85630.35971208084,-0.4,0.03546099290780142,756000.0,15.320359828390862,FSRQ,20334.694268853124,0.0067244359354673025,59698.50001157408,0.002735606773615545,0.009140781708968558,59500.0,60500.0,5e-07,3.0414921875e-07,5.266452040636879e-09,0.5
4FGL J1129.8-1447,1209600.0,28361.260982653723,0.0,0.014184397163120567,302400.0,28.997984984472218,FSRQ,6734.966115996036,0.005567928336636934,59747.50001157408,0.002735606773615545,0.006040864433753134,59500.0,60500.0,5e-07,3.0414921875e-07,5.266452040636879e-09,0.5
4FGL J1129.8-1447,1209600.0,28968.568498342243,0.5,0.014184397163120567,302400.0,28.41611217469434,FSRQ,6879.183805846058,0.00568715592414522,59789.50001157408,0.002735606773615545,0.00689930306381279,59500.0,60500.0,5e-07,3.0414921875e-07,5.266452040636879e-09,0.5
4FGL J1129.8-1447,1814400.0,98242.1124545457,-0.6666666666666666,0.02127659574468085,453600.0,10.812989092220953,FSRQ,23329.614961405256,0.012858032937282438,59873.50001157408,0.002735606773615545,0.01716877260119312,59500.0,60500.0,5e-07,3.0414921875e-07,5.266452040636879e-09,0.5
