0,1,2
0,0,0
0,0.0,0
4FGL J1840.6-5545,0.0022935779816513763,BCU
4FGL J1037.4-2933,0.003409090909090909,FSRQ
4FGL J2030.2-0620,0.00851305334846765,FSRQ
4FGL J0056.4-2118,0.018306636155606407,BLL
4FGL J1632.8-1048,0.022779043280182234,BCU
4FGL J2313.5+3945,0.024054982817869417,BCU
4FGL J0354.7+8009,0.029076396807297605,BLL
4FGL J1450.4+0910,0.04114285714285714,FSRQ
4FGL J0401.9-2034,0.04209328782707622,BCU
4FGL J1050.1+0432,0.04441913439635535,FSRQ
4FGL J1410.1+0202,0.04460093896713615,BLL
4FGL J0521.2+1637,0.04561003420752566,None
4FGL J1359.1+5544,0.04948805460750853,FSRQ
4FGL J0203.6+7233,0.049544419134396354,BLL
4FGL J1941.7+7218,0.049943246311010214,BCU
4FGL J1312.6+4828,0.05068337129840547,BCU
4FGL J0217.4+7352,0.05353075170842825,FSRQ
4FGL J2136.2+0032,0.055113636363636365,FSRQ
4FGL J0253.2-5441,0.05568181818181818,FSRQ
4FGL J0236.8-6136,0.05618615209988649,FSRQ
4FGL J1419.8+5423,0.0659090909090909,BLL
4FGL J1855.8-2028,0.06880733944954129,BCU
4FGL J1923.5-2104,0.07297605473204105,FSRQ
4FGL J2358.0-4601,0.0787037037037037,BCU
4FGL J0032.3-5522,0.07942238267148014,BCU
4FGL J1311.0+3233,0.080773606370876,FSRQ
4FGL J1534.8+0131,0.0843857634902411,FSRQ
4FGL J0045.3+2128,0.08542141230068337,BLL
4FGL J2206.8-0032,0.08542141230068337,BLL
4FGL J0116.0-1136,0.08602771362586605,FSRQ
4FGL J2328.3-4036,0.08820160366552118,FSRQ
4FGL J0327.5-1805,0.08918296892980437,BCU
4FGL J0742.6+5443,0.09049255441008018,FSRQ
4FGL J1640.4+3945,0.09147727272727273,FSRQ
4FGL J1106.7+3623,0.09619815668202765,None
4FGL J1728.0+1216,0.10057471264367816,FSRQ
4FGL J1057.2+5510,0.10240274599542334,BCU
4FGL J0453.3+2843,0.10710194730813287,None
4FGL J1518.0-2731,0.11015981735159817,BLL
4FGL J1648.0+2221,0.1132183908045977,BCU
4FGL J1015.6+5553,0.11384439359267734,FSRQ
4FGL J0112.8+3208,0.11529680365296803,FSRQ
4FGL J1118.2-4634,0.11695906432748537,FSRQ
4FGL J1058.5+8115,0.11921296296296297,FSRQ
4FGL J1153.3-1104,0.12557603686635946,BCU
4FGL J1824.5+0107,0.128,BCU
4FGL J0114.0+6418,0.12801377726750862,BCU
4FGL J1443.9+2501,0.12827822120866592,FSRQ
4FGL J0424.9-5331,0.12982456140350876,BLL
4FGL J0540.8-5415,0.13045977011494253,FSRQ
4FGL J0638.6+7320,0.13068181818181818,FSRQ
4FGL J0019.2-5640,0.13088404133180254,BCU
4FGL J1159.2-2227,0.13470319634703196,BCU
4FGL J1332.0-0509,0.13564131668558455,FSRQ
4FGL J1811.3+0340,0.13625866050808313,BLL
4FGL J0145.0-2732,0.13765642775881684,FSRQ
4FGL J2201.8+5048,0.14050056882821385,FSRQ
4FGL J2250.0-1250,0.14104046242774568,BCU
4FGL J0505.3+0459,0.14261363636363636,FSRQ
4FGL J1008.7-2909,0.1462857142857143,BCU
4FGL J2035.4+1056,0.14742857142857144,FSRQ
4FGL J0634.9-2335,0.1478953356086462,FSRQ
4FGL J1118.2-0415,0.14829545454545454,None
4FGL J0532.0-4827,0.14959723820483317,BLL
4FGL J0654.4+4514,0.14971428571428572,FSRQ
4FGL J2141.7-6410,0.15073947667804324,BCU
4FGL J1811.0+1608,0.1532349602724177,BLL
4FGL J0156.5+3914,0.1556818181818182,BCU
4FGL J0133.1-5201,0.1558589306029579,FSRQ
4FGL J1709.7+4318,0.15774487471526194,FSRQ
4FGL J0515.6-4556,0.15965909090909092,FSRQ
4FGL J2034.6+1154,0.16079545454545455,FSRQ
4FGL J1507.2+1721,0.16272189349112426,BLL
4FGL J1038.8-5312,0.16288308740068105,FSRQ
4FGL J0231.2-4745,0.16494845360824742,FSRQ
4FGL J0842.3-6053,0.16494845360824742,BCU
4FGL J1801.5+4404,0.16914285714285715,FSRQ
4FGL J0343.2-2529,0.17406143344709898,FSRQ
4FGL J0449.1+1121,0.1782065834279228,FSRQ
4FGL J2151.8-3027,0.17877412031782064,FSRQ
4FGL J1044.6+8053,0.18052391799544418,FSRQ
4FGL J1136.2+3407,0.18337129840546698,FSRQ
4FGL J1829.2-5813,0.18533487297921478,FSRQ
4FGL J1848.4+3217,0.18615209988649262,FSRQ
4FGL J1019.7+6321,0.18814139110604333,BLL
4FGL J0834.6+4402,0.18828932261768083,BLL
4FGL J2311.0+3425,0.1905574516496018,FSRQ
4FGL J1457.4-3539,0.19129438717067584,FSRQ
4FGL J0904.9-5734,0.19318181818181815,BCU
4FGL J1129.8-1447,0.19466515323496025,FSRQ
4FGL J1249.3-0545,0.19510807736063707,BCU
4FGL J0205.0-1700,0.1952326901248581,FSRQ
4FGL J1040.5+0617,0.19738339021615472,BLL
4FGL J2244.2+4057,0.19738339021615472,FSRQ
4FGL J0212.9+2244,0.19863791146424517,BLL
4FGL J0245.9-4650,0.20265588914549654,FSRQ
4FGL J1310.5+3221,0.20998864926220204,FSRQ
4FGL J0449.2+6329,0.21160409556313994,FSRQ
4FGL J0911.0-5047,0.21387940841865755,BCU
4FGL J0725.2+1425,0.216324200913242,FSRQ
4FGL J0841.3+7053,0.21988636363636363,FSRQ
4FGL J2335.4-0128,0.22494172494172496,FSRQ
4FGL J0953.0-0840,0.22701475595913734,BLL
4FGL J0534.0+3746c,0.2345890410958904,None
4FGL J1224.9+2122,0.23579545454545456,FSRQ
4FGL J1220.1+7105,0.23777019340159272,FSRQ
4FGL J0904.6+5200,0.23779795686719638,None
4FGL J1617.9-7718,0.23779795686719638,FSRQ
4FGL J1958.0-3845,0.23833902161547213,FSRQ
