,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s)
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0
1,4FGL J0011.4+0057,FSRQ,2.824939095693603e-08,1.4864151536156773,1.2932701651974525,5261760.0,52617600.0,87.0,0.11507936507936507,2536368.4921753416,59366.00001157408,5129222401.0
2,4FGL J0114.0+6418,BCU,5.883377179360162e-10,0.1161774018152149,0.018218096776870297,19746720.0,197467200.0,326.5,0.43359893758300133,348803245.2565937,54987.50001157408,4750920001.0
3,4FGL J0114.0+6418,BCU,7.84773076422557e-11,0.001922254564312468,0.002430079088640588,2449440.0,24494400.0,40.5,0.053784860557768925,920977525.4860796,58183.00001157408,5027011201.0
4,4FGL J0137.9+5814,BLL,5.429285046868933e-06,633.7408980948418,272.6143113718395,11672640.0,116726400.0,193.0,0.2566489361702128,17921.609226340253,58249.50001157408,5032756801.0
5,4FGL J0137.9+5814,BLL,5.224458863644525e-07,12.796998518965445,26.232961487706877,2449440.0,24494400.0,40.5,0.0538563829787234,85314.81320549046,59691.50001157408,5157345601.0
6,4FGL J0152.2+3714,BCU,5.496201940302475e-07,47.86708224232709,26.835196505091552,8709120.0,87091200.0,144.0,0.19225634178905207,157260.28703753135,58246.00001157408,5032454401.0
7,4FGL J0152.2+2206,FSRQ,1.1355624954862212e-06,155.9009207803051,50.753525313694865,13728960.0,137289600.0,227.0,0.31010928961748635,104397.34321873584,58393.00001157408,5045155201.0
8,4FGL J0205.0-1700,FSRQ,5.748120582689276e-07,2.6073474963078556,26.335723771906785,453600.0,4536000.0,7.5,0.009894459102902375,36571.258790912245,54683.00001157408,4724611201.0
9,4FGL J0205.0-1700,FSRQ,3.2366443835986907e-06,94.93984237522368,148.29085647759518,2933280.0,29332800.0,48.5,0.06398416886543536,16516.172190995127,55701.50001157408,4812609601.0
10,4FGL J0205.0-1700,FSRQ,9.200183067867939e-07,5.5642707194465295,42.151774034807424,604800.0,6048000.0,10.0,0.013192612137203167,26384.034422992198,57633.50001157408,4979534401.0
11,4FGL J0205.0-1700,FSRQ,1.469141378663098e-07,0.22213417645386044,6.731052519473765,151200.0,1512000.0,2.5,0.0032981530343007917,82611.14099352725,58239.00001157408,5031849601.0
12,4FGL J0205.0-1700,FSRQ,1.0621472413054582e-06,7.066253166956952,48.66358655793262,665280.0,6652800.0,11.0,0.014511873350923483,23969.00691819227,58620.50001157408,5064811201.0
13,4FGL J0205.0-1700,FSRQ,2.2758259219530245e-06,57.809619739081946,104.26977300023677,2540160.0,25401600.0,42.0,0.055408970976253295,21858.33407271594,59306.50001157408,5124081601.0
14,4FGL J0205.0-1700,FSRQ,2.167781067419344e-06,38.676682692468965,99.31956466162947,1784160.0,17841600.0,29.5,0.03891820580474934,19232.255373952157,59607.50001157408,5150088001.0
15,4FGL J0205.7+6449,None,3.81301489663026e-09,0.10377501342668917,0.11202716500393378,2721600.0,27216000.0,45.0,0.059445178335535004,21058374.69183084,56128.50001157408,4849502401.0
16,4FGL J0205.7+6449,None,3.898985980233768e-09,0.09432426883381531,0.11455301319218204,2419200.0,24192000.0,40.0,0.052840158520475564,19416252.7756613,56457.50001157408,4877928001.0
