,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s)
0,4FGL J0001.2-0747,BLL,2.257931446740238e-05,2970.1733422999787,1158.6853247787976,13154400.0,131544000.0,217.5,0.3016643550624133,4476.361781220328,57815.50001157408,4995259201.0
1,4FGL J0001.5+2113,FSRQ,1.7838799121071225e-07,0.48550075687907446,7.704110190413403,272160.0,2721600.0,4.5,0.006072874493927126,96834.88621328026,56765.50001157408,4904539201.0
2,4FGL J0001.5+2113,FSRQ,9.14664540921168e-08,0.11063782286982449,3.95019662629477,120960.0,1209600.0,2.0,0.002699055330634278,125905.6745293949,56814.50001157408,4908772801.0
3,4FGL J0001.5+2113,FSRQ,1.6304889642507775e-07,1.5777915609261923,7.041654855568939,967680.0,9676800.0,16.0,0.021592442645074223,199769.3082331806,56870.50001157408,4913611201.0
4,4FGL J0001.5+2113,FSRQ,9.430702720056764e-08,0.3137028952799682,4.072873540154856,332640.0,3326400.0,5.5,0.007422402159244264,202499.99016312446,57280.00001157408,4948992001.0
5,4FGL J0001.5+2113,FSRQ,1.1953131640361102e-06,4.337552409654236,51.6224453523242,362880.0,3628800.0,6.0,0.008097165991902834,16688.214349550595,57416.50001157408,4960785601.0
6,4FGL J0001.5+2113,FSRQ,2.152586301584041e-06,16.924494537574365,92.96456532317319,786240.0,7862400.0,13.0,0.017543859649122806,13640.234469720239,57465.50001157408,4965019201.0
7,4FGL J0001.5+2113,FSRQ,1.0794177812113163e-07,0.16320796851915104,4.661722726683269,151200.0,1512000.0,2.5,0.0033738191632928477,119281.25209258465,57570.50001157408,4974091201.0
8,4FGL J0001.5+2113,FSRQ,9.69544413376438e-07,7.329755765125872,41.87208423872456,756000.0,7560000.0,12.5,0.016869095816464237,29695.072016235616,57644.00001157408,4980441601.0
9,4FGL J0001.5+2113,FSRQ,7.124157355994688e-07,3.016083258233911,30.76736999610958,423360.0,4233600.0,7.0,0.009446693657219974,30242.407079671586,57801.50001157408,4994049601.0
10,4FGL J0001.5+2113,FSRQ,3.984755956534828e-06,65.06947086783113,172.09117476292872,1632960.0,16329600.0,27.0,0.03643724696356275,10619.109390280879,57990.50001157408,5010379201.0
11,4FGL J0001.5+2113,FSRQ,4.931234916270645e-07,1.1929643509441945,21.296712246110932,241920.0,2419200.0,4.0,0.005398110661268556,33027.71106008392,58312.50001157408,5038200001.0
12,4FGL J0001.5+2113,FSRQ,1.6702569877690894e-07,0.3535599991709608,7.213402534973059,211680.0,2116800.0,3.5,0.004723346828609987,91210.15260239002,58473.50001157408,5052110401.0
13,4FGL J0003.3-1928,BCU,6.713706746761035e-10,0.043446813292719495,0.020573881499379543,6471360.0,64713600.0,107.0,0.15049226441631505,176814380.674728,56660.50001157408,4895467201.0
14,4FGL J0004.4-4737,FSRQ,5.239668679800567e-07,10.457540337893164,24.816385928874794,1995840.0,19958400.0,33.0,0.04353562005277045,81407.24626434245,59537.50001157408,5144040001.0
15,4FGL J0005.9+3824,FSRQ,2.5713457136900364e-07,9.641929303366352,10.322213968547155,3749760.0,37497600.0,62.0,0.08244680851063829,268265.9259953271,54910.50001157408,4744267201.0
16,4FGL J0005.9+3824,FSRQ,4.011040536547646e-08,0.6185987157085241,1.6101614977064074,1542240.0,15422400.0,25.5,0.0339095744680851,1102916.9422055958,57990.50001157408,5010379201.0
17,4FGL J0005.9+3824,FSRQ,2.3834007621636307e-07,29.4062079315139,9.56774210051516,12337920.0,123379200.0,204.0,0.2712765957446808,524985.9980685356,58407.00001157408,5046364801.0
18,4FGL J0007.7+4008,BCU,2.3443627409281293e-05,2998.7962887836984,1205.384556236044,12791520.0,127915200.0,211.5,0.2865853658536585,4243.184864037034,57304.50001157408,4951108801.0
19,4FGL J0009.3+5030,BLL,2.838330769623131e-07,15.192108677792415,12.69854846926359,5352480.0,53524800.0,88.5,0.11690885072655217,260531.35503313714,55208.00001157408,4769971201.0
20,4FGL J0009.3+5030,BLL,1.0048197167111588e-07,3.7374470327014895,4.495512648521433,3719520.0,37195200.0,61.5,0.08124174372523117,613480.1641675724,56139.00001157408,4850409601.0
21,4FGL J0009.3+5030,BLL,9.272872617806953e-08,1.2057701722386738,4.148636362144771,1300320.0,13003200.0,21.5,0.028401585204755615,393057.8569313729,56867.00001157408,4913308801.0
22,4FGL J0009.3+5030,BLL,2.463864073702092e-07,20.56400088649535,11.023203389976132,8346240.0,83462400.0,138.0,0.18229854689564068,374777.86948296375,57297.50001157408,4950504001.0
23,4FGL J0010.6+2043,FSRQ,0.00011869437530312838,10875.633264774804,6139.879320331378,9162720.0,91627200.0,151.5,0.21924746743849494,705.2350203313188,56594.00001157408,4889721601.0
24,4FGL J0010.6+2043,FSRQ,8.269400708931947e-05,10252.733774962184,4277.635083771884,12398400.0,123984000.0,205.0,0.29667149059334297,1177.3078297955688,58036.00001157408,5014310401.0
25,4FGL J0010.6+2043,FSRQ,9.5774915075137e-05,637.1713550118715,4954.290537984985,665280.0,6652800.0,11.0,0.015918958031837915,236.3022666917133,59873.50001157408,5173070401.0
26,4FGL J0010.6-3025,FSRQ,6.929377865042707e-08,3.415573502213931,2.8773518432044796,4929120.0,49291200.0,81.5,0.10837765957446809,1103387.0666766248,55477.50001157408,4793256001.0
27,4FGL J0010.6-3025,FSRQ,1.659074359220598e-07,4.966870453660258,6.889133135023889,2993760.0,29937600.0,49.5,0.06582446808510638,359153.78703451314,56247.50001157408,4859784001.0
28,4FGL J0010.6-3025,FSRQ,5.052161574235992e-07,69.36092416622296,20.97857369148563,13728960.0,137289600.0,227.0,0.30186170212765956,252568.52701355092,58288.00001157408,5036083201.0
29,4FGL J0011.4+0057,FSRQ,8.960574760964685e-08,0.8400001203918734,4.102192510643005,937440.0,9374400.0,15.5,0.0205026455026455,337514.6983939519,54812.50001157408,4735800001.0
30,4FGL J0011.4+0057,FSRQ,8.111678204662767e-08,0.9075994509633076,3.713563746476826,1118880.0,11188800.0,18.5,0.02447089947089947,407321.77747126645,55579.00001157408,4802025601.0
31,4FGL J0011.4+0057,FSRQ,1.580362422315403e-07,1.2425441509212625,7.234972159560372,786240.0,7862400.0,13.0,0.017195767195767195,175258.35812313895,57451.50001157408,4963809601.0
32,4FGL J0011.4+0057,FSRQ,2.386342541604279e-07,0.7937929830392474,10.924786370449265,332640.0,3326400.0,5.5,0.007275132275132275,75494.8717635018,57556.50001157408,4972881601.0
33,4FGL J0011.4+0057,FSRQ,3.0489534647177204e-07,1.7518067026882134,13.95824977963528,574560.0,5745600.0,9.5,0.012566137566137565,77656.54078469258,59597.00001157408,5149180801.0
34,4FGL J0014.3-0500,BCU,7.227652664853293e-05,5070.6898247757945,3738.13561113636,7015680.0,70156800.0,116.0,0.15343915343915343,1013.5181761631088,55120.50001157408,4762411201.0
35,4FGL J0014.3-0500,BCU,0.00019652566011497364,33518.15882498517,10164.289882803532,17055360.0,170553600.0,282.0,0.373015873015873,581.1909092091213,57682.50001157408,4983768001.0
36,4FGL J0014.9+3212,BCU,2.513864851212494e-07,34.436730714601616,9.762947164028963,13698720.0,136987200.0,226.5,0.3167832167832168,542119.772844509,56587.00001157408,4889116801.0
37,4FGL J0016.2-0016,FSRQ,1.9025755551146868e-07,1.2657454653066988,7.384311987807171,665280.0,6652800.0,11.0,0.017241379310344827,157954.0057288953,55967.50001157408,4835592001.0
38,4FGL J0016.2-0016,FSRQ,3.002944087535629e-07,11.895982826127142,11.655083008236867,3961440.0,39614400.0,65.5,0.10266457680250783,244201.22975293166,56559.00001157408,4886697601.0
39,4FGL J0016.2-0016,FSRQ,4.0080727537098816e-07,32.482704179346065,15.556207270538112,8104320.0,81043200.0,134.0,0.21003134796238246,261692.34787987304,57024.50001157408,4926916801.0
40,4FGL J0017.0-0649,BCU,6.043396125095722e-05,6962.862585152286,3122.126183856125,11521440.0,115214400.0,190.5,0.2557046979865772,1554.8833126919822,56233.50001157408,4858574401.0
41,4FGL J0017.0-0649,BCU,3.224459038264192e-05,1023.8302338296463,1665.813026938842,3175200.0,31752000.0,52.5,0.07046979865771812,1530.062668313224,58025.50001157408,5013403201.0
42,4FGL J0017.0-0649,BCU,3.290003322135701e-05,776.019663598792,1699.6743725533652,2358720.0,23587200.0,39.0,0.052348993288590606,1292.6022994637572,58484.00001157408,5053017601.0
43,4FGL J0017.5-0514,FSRQ,6.577113967906606e-07,8.950136687527309,29.420800055439297,1360800.0,13608000.0,22.5,0.029683377308707123,56700.04504764582,54683.00001157408,4724611201.0
44,4FGL J0017.5-0514,FSRQ,9.221482494397688e-07,23.145183342338647,41.24961100054645,2509920.0,25099200.0,41.5,0.05474934036939314,54922.42297111473,56097.00001157408,4846780801.0
45,4FGL J0017.5-0514,FSRQ,3.991380061159932e-07,0.9655946643958108,17.85427397148015,241920.0,2419200.0,4.0,0.005277044854881266,39395.42183015673,56429.50001157408,4875508801.0
46,4FGL J0017.5-0514,FSRQ,2.1488795776599525e-07,3.574016513564033,9.612385722072693,1663200.0,16632000.0,27.5,0.036279683377308705,191857.305551061,56660.50001157408,4895467201.0
