Swift_BAT_name,Type_BAT,Fermi_LAT_name,Type_LAT,Sep_deg,Flag,1FLE,BAT_ra,BAT_dec,index_BAT,index_LAT,Flux_BAT,Flux_LAT,VarIndex
CygX-3,HMXB,CygX-3,HMB,0.072,M,0,308.1,40.96,3.0,2.66,2.5e+02,3.5e+00,8.3e+01
RXJ1826.2-1450,HMXB,LS5039,HMB,0.002,M,0,276.6,-14.85,1.62,2.61,3.3e+00,2.7e+01,9.0e+00
2XMMJ130247.6-635008,HMXB,PSRB1259-63,HMB,0.069,M,0,195.6,-63.85,1.2,2.75,2.0e+00,1.6e+00,1.9e+02
LSI+61303,HMXB,LSI+61303,HMB,0.014,M,1,40.16,61.24,1.73,2.38,3.2e+00,4.7e+01,2.5e+02
CygX-1,HMXB,CygX-1,hmb,0.035,M,0,299.6,35.2,1.9,2.14,1.7e+03,6.5e-01,1.2e+01
V395Car,LMXB,2S0921-630,lmb,0.053,M,0,140.5,-63.31,5.38,2.23,5.6e-01,1.9e-01,2.7e+00
EtaCarina,XRB,EtaCarinae,BIN,0.005,M,0,161.3,-59.68,3.76,2.31,7.8e-01,1.9e+01,4.7e+01
4U2129+12,LMXB,NGC7078,glc,0.026,F,0,322.5,12.17,2.66,2.62,7.7e+00,4.2e-01,2.3e+01
XB1832-330,LMXB,NGC6652,glc,0.015,F,0,278.9,-32.99,2.26,2.35,1.8e+01,4.8e-01,1.3e+01
4U1746-37,LMXB,NGC6441,glc,0.021,F,0,267.6,-37.05,5.45,2.4,8.3e+00,1.5e+00,8.2e+00
ESO520-27,GC,Terzan5,glc,0.009,M,0,267.,-24.78,4.32,2.37,2.6e+00,7.9e+00,5.3e+00
4U1722-30,LMXB,Terzan2,glc,0.049,F,0,261.9,-30.8,2.51,2.37,4.3e+01,6.7e-01,7.4e+00
GX340+0,LMXB,4U1642-45,unk,0.058,U,0,251.4,-45.61,5.59,2.61,8.6e+01,4.5e+00,5.4e+00
SAXJ1808.4-3658,LMXB,(SWIFTJ1808.5-3655),unk,0.043,U,0,272.1,-36.99,2.34,2.44,3.7e+00,4.4e-01,1.2e+01
XTEJ1652-453,LMXB,(SWIFTJ1652.3-4520),unk,0.061,U,0,253.1,-45.34,2.51,2.58,3.1e+00,1.9e+00,9.2e+00
PKS2005-489,BeamedAGN,PKS2005-489,bll,0.088,M,0,302.5,-48.87,2.42,1.83,6.0e-01,3.2e+00,1.5e+02
87GB050246.4+673341,BeamedAGN,1ES0502+675,bll,0.094,M,0,76.92,67.53,2.5,1.58,9.0e-01,2.4e+00,5.6e+01
2MASXJ03252346-5635443,BeamedAGN,1RXSJ032521.8-563543,bll,0.082,M,0,51.47,-56.53,2.06,1.95,8.5e-01,5.8e-01,3.6e+01
PKS0607-549,BeamedAGN,PKS0607-549,bcu,0.137,M,0,92.21,-55.08,2.19,2.68,6.2e-01,6.8e-01,7.7e+01
B20920+39,BeamedAGN,B20920+39,bcu,0.107,M,0,140.8,38.78,1.44,2.69,1.2e+00,5.9e-01,9.1e+01
8C1849+670,BeamedAGN,S41849+67,FSRQ,0.087,M,0,282.1,67.05,2.72,2.29,6.4e-01,4.4e+00,1.9e+03
RBS0315,BeamedAGN,TXS0222+185,fsrq,0.089,M,0,36.26,18.8,1.73,2.95,3.1e+00,5.0e-01,5.2e+01
4C+32.14,BeamedAGN,NRAO140,fsrq,0.121,M,0,54.12,32.29,1.67,2.8,4.4e+00,1.3e+00,4.6e+01
PKS2008-159,BeamedAGN,PKS2008-159,fsrq,0.083,M,0,302.8,-15.75,2.41,2.82,1.3e+00,4.8e-01,1.8e+01
PKS2052-47,BeamedAGN,PKS2052-47,fsrq,0.183,M,1,313.8,-47.16,2.19,2.45,1.8e+00,6.0e+00,1.3e+03
PKS2145+06,BeamedAGN,PKS2145+06,fsrq,0.142,M,0,327.,6.936,1.9,2.8,1.7e+00,5.4e-01,3.9e+01
[HB89]0834-201,BeamedAGN,PKS0834-20,fsrq,0.197,M,0,129.2,-20.25,1.43,2.91,1.4e+00,5.8e-01,2.5e+01
1RXSJ174036.3+521155,BeamedAGN,4C+51.37,fsrq,0.222,M,1,265.2,51.97,1.9,2.47,8.7e-01,2.1e+00,8.0e+02
2MASXJ06230765-6436211,BeamedAGN,RXJ062308.0-643619,fsrq,0.115,M,0,95.85,-64.61,1.98,3.04,1.2e+00,2.5e-01,7.9e+00
87GB162418.8+435342,BeamedAGN,MG4J162551+4346,fsrq,0.249,M,0,246.5,43.81,2.04,2.91,1.2e+00,2.3e-01,1.4e+01
PKS2331-240,BeamedAGN,PKS2331-240,agn,0.262,M,0,353.5,-23.69,1.4,2.5,1.6e+00,4.4e-01,2.0e+01
PKS2153-69,Sy2,PKS2153-69,rdg,0.125,D,0,329.4,-69.7,1.59,2.87,1.5e+00,3.7e-01,5.2e+00
3C111.0,Sy1.2,3C111,rdg,0.1,D,1,64.59,38.02,2.0,2.74,1.2e+01,1.5e+00,4.0e+01
3C309.1,BeamedAGN,3C309.1,css,0.098,M,0,224.5,71.72,1.8,2.5,7.7e-01,4.3e-01,2.1e+02
PSRJ1420-6048,Pulsar,PSRJ1420-6048,PSR,0.272,M,0,215.3,-60.58,2.24,2.42,1.0e+00,1.4e+01,1.4e+01
PSRJ1723-2837,Pulsar,PSRJ1723-2837,psr,0.361,M,0,260.8,-28.64,0.88,2.58,1.9e+00,5.8e-01,1.2e+01
CGCG147-020,Sy2,(SWIFTJ0725.8+3000),unk,0.282,U,0,111.4,30.02,2.19,1.61,9.2e-01,9.4e-02,1.5e+01
2MASXJ14080674-3023537,Sy1.9,(SWIFTJ1408.1-3024),unk,0.15,U,0,212.1,-30.38,2.16,2.59,1.6e+00,2.4e-01,1.6e+01
XTEJ1817-330,LMXB,(SWIFTJ1817.8-3301),unk,0.144,U,0,274.3,-32.98,1.65,2.5,1.8e+00,2.2e-01,8.8e+00
