Name,Value
4FGL J0538.8-4405,0.3438036699306338
4FGL J1104.4+3812,1.202340378672335
4FGL J1653.8+3945,0.4269442466640812
4FGL J0136.5+3906,0.0005266949387618328
4FGL J0156.9-5301,0.00953042697290393
4FGL J0244.6-5819,0.008079417537868314
4FGL J0710.4+5908,0.002943563966132289
4FGL J1136.4+6736,1.6133776372289756
4FGL J1221.3+3010,0.14789411877027367
4FGL J1800.6+7828,2.0476777559063177
4FGL J2000.0+6508,0.30632301003219037
4FGL J2253.9+1609,6.068910856662839
4FGL J2229.7-0832,1.622421514546934
4FGL J2147.3-7536,1.4796303116453615
4FGL J1642.9+3948,2.9466855770295455
4FGL J1626.0-2950,0.70786890347318
4FGL J1512.8-0906,4.548145201048284
4FGL J1256.1-0547,3.860859416332374
4FGL J1229.0+0202,5.098604261823143
4FGL J1224.9+2122,4.402509122795904
4FGL J1153.4+4931,2.8923983043760093
4FGL J0841.3+7053,0.03741134442150391
4FGL J0530.9+1332,0.0127143721595883
4FGL J0403.9-3605,0.21336739875857288
4FGL J2327.5+0939,1.7812623826500207
4FGL J2151.8-3027,0.09360397718780836
4FGL J1924.8-2914,3.5590361669487023
4FGL J1357.1+1921,829.5849625974639
4FGL J1332.0-0509,0.180342854299573
4FGL J1222.5+0414,0.12882566201786436
4FGL J1159.5+2914,0.3739550843405604
4FGL J1129.8-1447,0.8173964027794169
4FGL J1044.6+8053,1.2835525172441338
4FGL J0805.4+6147,2.2257596927401724
4FGL J0746.4+2546,0.013330328383759436
4FGL J0635.6-7518,3.861364333020148
4FGL J0539.9-2839,1.7103233395844832
4FGL J0405.6-1308,355.4301523177158
4FGL J0217.4+7352,0.33472107783020394
4FGL J0304.5+3349,0.029246243731202003
4FGL J1941.3-6210,0.9012360222316476
4FGL J0522.9-3628,2.9200348420460367
4FGL J0433.0+0522,0.2985170488882885
4FGL J0319.8+4130,0.22973014845881126
4FGL J0312.9+4119,156.6258851454794
4FGL J0324.8+3412,11.985033271614721
4FGL J1829.5+4845,7.387882938613135
4FGL J2009.4-4849,0.15123751382291792
4FGL J0507.9+6737,0.009950270048194453
4FGL J0325.5-5635,4.058533558509867
4FGL J0608.9-5456,0.27282043643983334
4FGL J0923.5+3852,0.4040831114630026
4FGL J1849.2+6705,0.4472501771006628
4FGL J0224.9+1843,3487.270439743622
4FGL J0336.4+3224,0.0001774390958467616
4FGL J2056.2-4714,0.32255321120259595
4FGL J2148.6+0652,0.23602769107539417
4FGL J0836.5-2026,0.0034789866965967095
4FGL J1740.5+5211,10.804989173227147
4FGL J1459.0+7140,185.2452523494233
4FGL J0721.9+7120,1.8206780623946268
4FGL J2202.7+4216,0.5147388895122023
4FGL J2232.6+1143,8.48236759835302
4FGL J1337.6-1257,0.29847842647116846
4FGL J0428.6-3756,0.11663227209098607
