,Name,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),MDP99,Start Time (MJD),Start Time (s)
355,4FGL J0522.9-3628,1.0469183725424242e-05,146.53507076801804,224.79218019606031,139968.0,13996800.0,23.142857142857142,2381.86795074443,56094.50001157408,4846564801.0
356,4FGL J0522.9-3628,2.377583337181226e-06,3.6976176059842425,51.050985060550616,15552.0,1555200.0,2.5714285714285716,3498.941446498653,56259.50001157408,4860820801.0
357,4FGL J0522.9-3628,2.8148566307568938e-06,14.592216773843738,60.440028139972064,51840.0,5184000.0,8.571428571428571,5390.100956251059,56280.50001157408,4862635201.0
358,4FGL J0522.9-3628,5.685154127393429e-06,50.102126293892816,122.07047125783556,88128.0,8812800.0,14.571428571428571,3480.029670346525,56379.50001157408,4871188801.0
359,4FGL J0522.9-3628,1.3553547905934456e-06,2.810463693774569,29.10190195409233,20736.0,2073600.0,3.4285714285714284,7080.789725992719,56517.50001157408,4883112001.0
360,4FGL J0522.9-3628,2.6835303280658514e-06,20.519346300522727,57.620216522060005,76464.0,7646400.0,12.642857142857142,6865.200572084387,56732.00001157408,4901644801.0
361,4FGL J0522.9-3628,1.59444803453123e-05,566.194874854178,342.3566338043936,355104.0,35510400.0,58.714285714285715,2490.2578822472765,56972.00001157408,4922380801.0
362,4FGL J0522.9-3628,1.4881362656861007e-05,528.4431404901972,319.529587373677,355104.0,35510400.0,58.714285714285715,2668.075080365032,57453.50001157408,4963982401.0
363,4FGL J0522.9-3628,1.5104930053108854e-06,5.28551712418385,32.4329980961313,34992.0,3499200.0,5.785714285714286,8251.530277158014,57879.50001157408,5000788801.0
364,4FGL J0522.9-3628,1.862981460610742e-06,6.277502329673956,40.001558400252385,33696.0,3369600.0,5.571428571428571,6566.076380366896,57948.50001157408,5006750401.0
365,4FGL J0522.9-3628,1.3748973951605649e-05,461.50355924917585,295.2151677818639,335664.0,33566400.0,55.5,2807.6350101220237,57998.00001157408,5011027201.0
366,4FGL J0522.9-3628,1.2629573562001056e-05,278.25476471800727,271.1796306577564,220320.0,22032000.0,36.42857142857143,2476.69794688937,58404.50001157408,5046148801.0
367,4FGL J0522.9-3628,8.558337916396804e-06,110.91605939650259,183.76288825741145,129600.0,12960000.0,21.428571428571427,2803.4215674062225,58662.50001157408,5068440001.0
368,4FGL J0522.9-3628,5.534706137772099e-06,102.57360191010275,118.84008267357918,185328.0,18532800.0,30.642857142857142,5181.825823775873,58829.00001157408,5082825601.0
369,4FGL J0522.9-3628,8.144154961755823e-07,1.2665789796522655,17.48696362316888,15552.0,1555200.0,2.5714285714285716,10203.725857612962,59310.50001157408,5124427201.0
370,4FGL J0522.9-3628,2.564831554479718e-06,19.944130167634285,55.071540636639504,77760.0,7776000.0,12.857142857142858,7243.370030488775,59349.50001157408,5127796801.0
371,4FGL J0522.9-3628,2.7687962150694673e-06,13.27693161050111,59.45102827764576,47952.0,4795200.0,7.928571428571429,5270.466808198549,59451.50001157408,5136609601.0
372,4FGL J0522.9-3628,9.899501769519971e-06,277.1226927352343,212.56008529308465,279936.0,27993600.0,46.285714285714285,3560.80768929058,59523.50001157408,5142830401.0
373,4FGL J0433.0+0522,0.0018012147994565775,56024.98512229739,39934.14566931575,311040.0,31104000.0,51.42857142857143,21.21432424606692,56175.50001157408,4853563201.0
374,4FGL J0433.0+0522,0.001015410038389402,6579.857048763324,22512.324681854483,64800.0,6480000.0,10.714285714285714,18.769533098717968,56787.50001157408,4906440001.0
375,4FGL J0433.0+0522,0.0010981022503465472,5977.190169086326,24345.666734679537,54432.0,5443200.0,9.0,16.486023764554943,56883.50001157408,4914734401.0
376,4FGL J0433.0+0522,0.002168983551252153,36824.13513973855,48087.82668018567,169776.0,16977600.0,28.071428571428573,13.880127375333437,56963.00001157408,4921603201.0
377,4FGL J0433.0+0522,0.0030871759130667643,78019.10967502327,68444.76997213518,252720.0,25272000.0,41.785714285714285,11.840218554201583,57188.00001157408,4941043201.0
378,4FGL J0433.0+0522,0.009765973106886311,1360595.373251401,216518.20358720067,1393200.0,139320000.0,230.35714285714286,8.379469990497341,57836.00001157408,4997030401.0
379,4FGL J0319.8+4130,4.413143504144027e-06,52.618792628610066,93.52272192727685,119232.0,11923200.0,19.714285714285715,5281.844022844058,54861.50001157408,4740033601.0
380,4FGL J0319.8+4130,1.4988130081195942e-07,0.07769846634091977,3.1762636326629505,5184.0,518400.0,0.8571428571428571,32425.374321368723,55119.50001157408,4762324801.0
381,4FGL J0319.8+4130,2.8761006372024644e-07,0.2981941140651515,6.094992376191066,10368.0,1036800.0,1.7142857142857142,23896.70272185425,55152.50001157408,4765176001.0
382,4FGL J0319.8+4130,1.3778446204034553e-05,378.56556514509015,291.99091117699845,274752.0,27475200.0,45.42857142857143,2568.4302997448594,55263.50001157408,4774766401.0
383,4FGL J0319.8+4130,2.844706580951311e-06,20.645742481912233,60.284625298312356,72576.0,7257600.0,12.0,6393.023229234967,55614.50001157408,4805092801.0
384,4FGL J0319.8+4130,3.1305646537904444e-05,1882.546271168961,663.4248972798648,601344.0,60134400.0,99.42857142857143,1672.419395123537,55710.50001157408,4813387201.0
385,4FGL J0319.8+4130,3.213014559909402e-05,1290.8607295892014,680.8975664456252,401760.0,40176000.0,66.42857142857143,1332.31006848057,56415.50001157408,4874299201.0
386,4FGL J0319.8+4130,5.523379112793697e-05,3665.049257052483,1170.5068017382005,663552.0,66355200.0,109.71428571428571,996.0526325806588,56886.50001157408,4914993601.0
387,4FGL J0319.8+4130,9.418049777949924e-05,12095.940379613094,1995.859979747706,1284336.0,128433600.0,212.35714285714286,812.6105955173873,57657.50001157408,4981608001.0
388,4FGL J0319.8+4130,1.1897385243269864e-05,391.6428863920547,252.1277295250404,329184.0,32918400.0,54.42857142857143,3255.3750964444516,59229.50001157408,5117428801.0
389,4FGL J0319.8+4130,1.865156326783258e-05,611.5623776763089,395.26132865802884,327888.0,32788800.0,54.214285714285715,2072.889162301053,59613.50001157408,5150606401.0
390,4FGL J0312.9+4119,1.8474287429907793e-06,337.59173877916305,38.363269438585675,1827360.0,182736000.0,302.14285714285717,50389.151022684855,54711.50001157408,4727073601.0
391,4FGL J0324.8+3412,0.028689454181361335,2439108.5398093057,634150.2843892182,850176.0,85017600.0,140.57142857142858,2.74731549060699,54722.00001157408,4727980801.0
