,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s)
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0
1,4FGL J0136.5+3906,BLL,7.257867714195935e-06,618.9277334899439,373.9395388348171,8527680.0,85276800.0,141.0,0.18601583113456466,11167.594050081902,55078.50001157408,4758782401.0
2,4FGL J0136.5+3906,BLL,3.2523407778276694e-07,1.8686649173086658,16.756695747096348,574560.0,5745600.0,9.5,0.012532981530343008,64687.69555310388,56849.50001157408,4911796801.0
3,4FGL J0136.5+3906,BLL,2.5992591341370957e-06,70.74143659467519,133.91891395737443,2721600.0,27216000.0,45.0,0.059366754617414245,17616.391430145177,57437.50001157408,4962600001.0
4,4FGL J0136.5+3906,BLL,5.585657696089473e-06,407.0737958386871,287.78400836370736,7287840.0,72878400.0,120.5,0.15897097625329815,13414.588946699248,58690.50001157408,5070859201.0
5,4FGL J2253.9+1609,FSRQ,0.0002504457770219193,2650.718103999994,12249.95758155191,1058400.0,10584000.0,17.5,0.02308707124010554,120.78839337176477,54683.00001157408,4724611201.0
6,4FGL J2253.9+1609,FSRQ,0.0012021556765869081,61800.419021979775,58800.57639511562,5140800.0,51408000.0,85.0,0.11213720316622691,55.45483862094005,55050.50001157408,4756363201.0
7,4FGL J2253.9+1609,FSRQ,1.0365473101830472e-05,12.538076263974139,507.00238319062345,120960.0,1209600.0,2.0,0.002638522427440633,983.0037931389537,56548.50001157408,4885790401.0
8,4FGL J2253.9+1609,FSRQ,0.0006481610064983071,16856.334399397572,31703.249022742908,2600640.0,26006400.0,43.0,0.05672823218997362,73.18187376582601,56730.50001157408,4901515201.0
9,4FGL J2253.9+1609,FSRQ,0.00013658504171873537,743.4596990834203,6680.731403119523,544320.0,5443200.0,9.0,0.011873350923482849,158.8869080472184,57045.50001157408,4928731201.0
10,4FGL J2253.9+1609,FSRQ,5.039214615659122e-05,182.8630199730382,2464.811585972877,362880.0,3628800.0,6.0,0.0079155672823219,350.67417407549357,57164.50001157408,4939012801.0
11,4FGL J2253.9+1609,FSRQ,0.00031048578660406047,3380.072467286444,15186.671385725285,1088640.0,10886400.0,18.0,0.023746701846965697,98.92906024438794,57227.50001157408,4944456001.0
12,4FGL J2253.9+1609,FSRQ,0.00023561517704545422,1852.5007680021793,11524.554171756094,786240.0,7862400.0,13.0,0.017150395778364115,110.8279427847046,57374.50001157408,4957156801.0
13,4FGL J2253.9+1609,FSRQ,9.488394608598664e-06,11.477162118560944,464.10218153603216,120960.0,1209600.0,2.0,0.002638522427440633,1073.6800364408182,57479.50001157408,4966228801.0
14,4FGL J2253.9+1609,FSRQ,1.1641223637440376e-05,14.08122411184788,569.4026765063925,120960.0,1209600.0,2.0,0.002638522427440633,875.502145882669,57521.50001157408,4969857601.0
15,4FGL J2253.9+1609,FSRQ,0.00021863174804014735,1718.9702557908545,10693.850266989917,786240.0,7862400.0,13.0,0.017150395778364115,119.37491507567282,57542.50001157408,4971672001.0
16,4FGL J2253.9+1609,FSRQ,0.00035728988437924887,6482.667662177091,17475.982146747567,1814400.0,18144000.0,30.0,0.0395778364116095,110.74967983769648,57647.50001157408,4980744001.0
17,4FGL J2253.9+1609,FSRQ,1.7669144918197173e-05,32.05889653957695,864.2440624234011,181440.0,1814400.0,3.0,0.00395778364116095,706.4769918464892,58067.50001157408,5017032001.0
18,4FGL J2253.9+1609,FSRQ,9.249191383171805e-06,11.187821897084614,452.4021265393255,120960.0,1209600.0,2.0,0.002638522427440633,1101.3945562501679,58109.50001157408,5020660801.0
19,4FGL J2253.9+1609,FSRQ,9.568129017074282e-06,11.573608859053051,468.0021998682677,120960.0,1209600.0,2.0,0.002638522427440633,1064.7498017308055,58151.50001157408,5024289601.0
20,4FGL J2253.9+1609,FSRQ,1.7756852767520357e-05,32.21803366138894,868.5340825888601,181440.0,1814400.0,3.0,0.00395778364116095,702.9957046599784,58564.50001157408,5059972801.0
21,4FGL J2253.9+1609,FSRQ,0.00011513648583879385,696.3454663530252,5631.626471748156,604800.0,6048000.0,10.0,0.013192612137203167,198.39042552786776,59824.50001157408,5168836801.0
22,4FGL J1642.9+3948,FSRQ,9.739210667741382e-06,44.17705958887491,453.60867357823656,453600.0,4536000.0,7.5,0.009894459102902375,2124.262845187589,54683.00001157408,4724611201.0
23,4FGL J1642.9+3948,FSRQ,1.1094562197397006e-05,20.12997365095713,516.7348580888238,181440.0,1814400.0,3.0,0.00395778364116095,1180.4629085809547,54840.50001157408,4738219201.0
