,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s)
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0
1,4FGL J0136.5+3906,BLL,2.6187542071325562e-06,223.31897877080158,134.9631699127386,8527680.0,85276800.0,141.0,0.18601583113456466,30941.378010555793,55078.50001157408,4758782401.0
2,4FGL J0136.5+3906,BLL,1.1734963256916494e-07,0.6742440488893942,6.0478674770212875,574560.0,5745600.0,9.5,0.012532981530343008,179227.13019295858,56849.50001157408,4911796801.0
3,4FGL J0136.5+3906,BLL,9.378540724344605e-07,25.524636435376276,48.33434088108709,2721600.0,27216000.0,45.0,0.059366754617414245,48808.5877040943,57437.50001157408,4962600001.0
4,4FGL J0136.5+3906,BLL,2.0153942131827845e-06,146.87870562602023,103.86770583283307,7287840.0,72878400.0,120.5,0.15897097625329815,37167.04279115922,58690.50001157408,5070859201.0
5,4FGL J2253.9+1609,FSRQ,0.00042992360340425654,4550.311418430651,21520.74162477549,1058400.0,10584000.0,17.5,0.02308707124010554,69.05175887162346,54683.00001157408,4724611201.0
6,4FGL J2253.9+1609,FSRQ,0.0020636606712913013,106088.66778974322,103300.93011039162,5140800.0,51408000.0,85.0,0.11213720316622691,31.700588628835714,55050.50001157408,4756363201.0
7,4FGL J2253.9+1609,FSRQ,1.779371806512364e-05,21.523281371573557,890.7024550209533,120960.0,1209600.0,2.0,0.002638522427440633,560.4248789783164,56548.50001157408,4885790401.0
8,4FGL J2253.9+1609,FSRQ,0.001112654878087616,28936.14782149778,55696.30966819483,2600640.0,26006400.0,43.0,0.05672823218997362,41.84572977691696,56730.50001157408,4901515201.0
9,4FGL J2253.9+1609,FSRQ,0.00023446645419659075,1276.2478034828828,11736.717734237638,544320.0,5443200.0,9.0,0.011873350923482849,90.85501896502224,57045.50001157408,4928731201.0
10,4FGL J2253.9+1609,FSRQ,8.650484474737032e-05,313.9087806192574,4330.184242871095,362880.0,3628800.0,6.0,0.0079155672823219,200.11839951288772,57164.50001157408,4939012801.0
11,4FGL J2253.9+1609,FSRQ,0.0005329902934276266,5802.345530370514,26679.9643065507,1088640.0,10886400.0,18.0,0.023746701846965697,56.60444431922941,57227.50001157408,4944456001.0
12,4FGL J2253.9+1609,FSRQ,0.0004044648990956951,3180.064822649993,20246.351958360894,786240.0,7862400.0,13.0,0.017150395778364115,63.42898566287776,57374.50001157408,4957156801.0
13,4FGL J2253.9+1609,FSRQ,1.6288095767305487e-05,19.702080640132717,815.3353242114879,120960.0,1209600.0,2.0,0.002638522427440633,612.0394921183823,57479.50001157408,4966228801.0
14,4FGL J2253.9+1609,FSRQ,1.998371413467732e-05,24.172300617305684,1000.3273725619937,120960.0,1209600.0,2.0,0.002638522427440633,499.2328738563843,57521.50001157408,4969857601.0
15,4FGL J2253.9+1609,FSRQ,0.0003753105764197617,2950.8418760427344,18786.970243595795,786240.0,7862400.0,13.0,0.017150395778364115,68.29430742661998,57542.50001157408,4971672001.0
16,4FGL J2253.9+1609,FSRQ,0.0006133357742293772,11128.36428761782,30701.828468837626,1814400.0,18144000.0,30.0,0.0395778364116095,63.267688270687906,57647.50001157408,4980744001.0
