0,1,2
0,0,0
4FGL J1037.4-2933,0.004641909814323607,FSRQ
4FGL J1840.6-5545,0.016320474777448073,BCU
4FGL J2237.0-3921,0.026385224274406333,FSRQ
4FGL J2146.5-1344,0.036715620827770364,BLL
4FGL J1050.1+0432,0.04222520107238606,FSRQ
4FGL J0217.4+7352,0.04953764861294584,FSRQ
4FGL J0842.3-6053,0.0538881309686221,BCU
4FGL J0622.9+3326,0.0540720961281709,None
4FGL J1407.6-4301,0.05416666666666667,BLL
4FGL J1419.8+5423,0.05976095617529881,BLL
4FGL J1534.8+0131,0.059945504087193464,FSRQ
4FGL J1312.6+4828,0.060000000000000005,BCU
4FGL J0032.3-5522,0.06050531914893617,BCU
4FGL J2136.2+0032,0.06334231805929919,FSRQ
4FGL J1739.5+4955,0.07791327913279132,FSRQ
4FGL J2358.0-4601,0.07816711590296496,BCU
4FGL J1058.6+2817,0.08545197740112995,BLL
4FGL J0243.4+7119,0.08586525759577279,BLL
4FGL J2237.6-5126,0.0873452544704264,None
4FGL J0236.8-6136,0.09212283044058746,FSRQ
4FGL J0347.7-3616,0.09395973154362416,BCU
4FGL J1044.6+8053,0.09445178335535007,FSRQ
4FGL J1153.3-1104,0.1075268817204301,BCU
4FGL J1023.1+3949,0.10912698412698411,FSRQ
4FGL J1106.7+3623,0.11238223418573351,None
4FGL J2201.8+5048,0.11238223418573351,FSRQ
4FGL J0133.1-5201,0.11375661375661375,FSRQ
4FGL J0205.0-1700,0.11477572559366755,FSRQ
4FGL J0358.9+6004,0.11491108071135431,FSRQ
4FGL J1129.8-1447,0.11609498680738786,FSRQ
4FGL J0852.5-5755,0.12068965517241381,BCU
4FGL J1801.5+4404,0.12098930481283422,FSRQ
4FGL J1135.1+3014,0.12234794908062235,BLL
4FGL J0532.0-4827,0.12348993288590605,BLL
4FGL J0830.8+2410,0.12798408488063662,FSRQ
4FGL J1106.5-3646,0.12901069518716576,BLL
4FGL J2250.0-1250,0.1303448275862069,BCU
4FGL J2141.7-6410,0.13058186738836267,BCU
4FGL J1332.0-0509,0.1360634081902246,FSRQ
4FGL J0424.9-5331,0.13630229419703105,BLL
4FGL J0510.0+1800,0.138,FSRQ
4FGL J0153.9+0823,0.14457831325301204,BLL
4FGL J1123.4-2529,0.14674634794156707,FSRQ
4FGL J0253.2-5441,0.1478029294274301,FSRQ
4FGL J0515.6-4556,0.14784946236559138,FSRQ
4FGL J0112.8+3208,0.14859437751004015,FSRQ
4FGL J1443.9+2501,0.15591397849462363,FSRQ
4FGL J2151.8-3027,0.15725806451612903,FSRQ
4FGL J1811.3+0340,0.1581769436997319,BLL
4FGL J2256.0-2740,0.15827814569536425,FSRQ
4FGL J0231.2-4745,0.1606896551724138,FSRQ
4FGL J0617.6-4028,0.16078697421981003,None
4FGL J1058.5+8115,0.16174496644295303,FSRQ
4FGL J0540.8-5415,0.17156208277703605,FSRQ
4FGL J0001.5+2113,0.17273954116059378,FSRQ
4FGL J1802.6-3940,0.17991913746630728,FSRQ
4FGL J0734.0+5021,0.18307905686546463,FSRQ
4FGL J0654.4+4514,0.18363136176066025,FSRQ
4FGL J1732.7-5050,0.18565683646112602,None
4FGL J0725.2+1425,0.1856763925729443,FSRQ
4FGL J1613.6+3411,0.18617021276595744,FSRQ
4FGL J0839.8+0105,0.18623481781376516,FSRQ
4FGL J1709.7+4318,0.18707482993197277,FSRQ
4FGL J1829.2-5813,0.18733509234828497,FSRQ
4FGL J0841.3+7053,0.1879947229551451,FSRQ
4FGL J2035.4+1056,0.18842530282637954,FSRQ
4FGL J0904.9-5734,0.18899204244031828,BCU
4FGL J1457.4-3539,0.1894039735099338,FSRQ
4FGL J0505.3+0459,0.19174434087882822,FSRQ
4FGL J0152.2+3714,0.19225634178905207,BCU
4FGL J2025.2+0317,0.20123626373626374,FSRQ
4FGL J0532.6+0732,0.20184696569920843,FSRQ
4FGL J2311.0+3425,0.20279255319148937,FSRQ
4FGL J1958.0-3845,0.20304232804232802,FSRQ
4FGL J2147.3-7536,0.20436507936507933,FSRQ
4FGL J1330.2-7003,0.2051451187335092,BCU
4FGL J0723.5+2900,0.20623342175066314,FSRQ
4FGL J0228.3-5547,0.21045576407506703,FSRQ
