Source_Name,Flux1000,Energy_Flux100,PL_Index,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,ASSOC1
4FGL J0011.8-3142,1.22884e-10,1.38211e-12,1.97354,20.3871,0.825489,0.385725,bcu,SUMSS J001141-314220
4FGL J0012.0+7043,3.75654e-10,5.00841e-12,2.40917,17.851,0.50827,0.242261,bcu,TXS 0008+704
4FGL J0013.1-3955,4.18484e-10,4.67491e-12,2.00227,12.1377,0.18776,0.159238,bll,PKS 0010-401
4FGL J0013.4+0950,1.68281e-10,1.8935e-12,2.15156,13.3597,0.0726326,1.31345,bcu,1RXS J001328.4+094942
4FGL J0013.6+4051,1.63686e-10,1.86733e-12,2.19123,11.9654,0.210673,0.439587,agn,4C +40.01
4FGL J0013.6-0424,1.64736e-10,2.01012e-12,2.30758,10.0312,0.0,10.0,fsrq,PKS 0011-046
4FGL J0013.9-1854,2.97638e-10,3.32804e-12,1.99755,4.38526,0.0,10.0,bll,RBS 0030
4FGL J0014.1+1910,2.25116e-10,2.68729e-12,2.27622,39.853,0.95231,0.282958,bll,MG3 J001356+1910
4FGL J0014.1-5022,2.5778e-10,2.87343e-12,2.015,2.09872,0.0,10.0,bll,RBS 0032
4FGL J0014.2+0854,1.65056e-10,2.3547e-12,2.47262,9.47538,0.0,10.0,bll,MS 0011.7+0837
4FGL J0014.3-0500,4.00801e-10,5.14654e-12,2.36956,22.0695,0.400982,0.163718,bcu,GALEXASC J001420.46-045929.1
4FGL J0014.7+5801,2.22161e-10,2.94662e-12,1.72097,14.7603,0.488831,0.279532,bll,1RXS J001442.2+580201
4FGL J0014.8+6118,7.90686e-10,8.78473e-12,2.04993,6.14634,0.0,10.0,bcu,4C +60.01
4FGL J0014.9+3212,3.50897e-10,5.95648e-12,2.61,46.4814,0.570634,0.16508,bcu,3C 6
4FGL J0015.2+3537,1.02619e-10,1.17348e-12,1.92689,7.39536,0.0,10.0,bll,RX J0015.4+3536
4FGL J0015.6+5551,3.63966e-10,4.26974e-12,1.87623,10.36,0.200934,0.263118,bll,GB6 J0015+5551
4FGL J0015.9+2440,2.48483e-10,2.91316e-12,2.24684,17.1362,0.373285,0.196077,bll,GB6 J0016+2440
4FGL J0016.2-0016,4.16835e-10,8.97114e-12,2.74068,82.1356,0.506649,0.133598,fsrq,S3 0013-00
4FGL J0016.5+1702,1.51043e-10,2.53518e-12,2.60181,15.7885,0.538968,0.310411,fsrq,GB6 J0015+1700
4FGL J0017.0-0649,3.87838e-10,4.69986e-12,2.29811,26.482,0.313647,0.145309,bcu,PMN J0017-0650
4FGL J0017.1-4605,9.95175e-11,2.198e-12,2.78449,6.83227,0.0,10.0,,
4FGL J0017.5-0514,7.582e-10,1.11991e-11,2.563,230.156,0.921786,0.225164,FSRQ,PMN J0017-0512
4FGL J0017.8+1455,2.3595e-10,2.69364e-12,2.19297,14.2201,0.419044,0.271017,bll,GB6 J0017+1450
4FGL J0018.4+2946,2.63342e-10,3.57299e-12,1.69847,4.77122,0.0,10.0,bll,RBS 0042
4FGL J0019.2-5640,2.90214e-10,3.3301e-12,2.20482,91.017,1.1239,0.291161,bcu,PMN J0019-5641
4FGL J0019.3-8152,6.12945e-10,6.8366e-12,2.11244,19.44,0.250652,0.112147,bll,PMN J0019-8152
4FGL J0019.6+7327,1.10905e-09,1.92064e-11,2.62432,318.91,0.970004,0.234962,fsrq,S5 0016+73
4FGL J0019.6+2022,3.17322e-10,3.58504e-12,2.16483,15.9731,0.37297,0.199663,bll,PKS 0017+200
4FGL J0020.3+6919,2.54078e-10,4.00499e-12,2.55469,1.85623,0.0,10.0,bcu,TXS 0016+691
4FGL J0021.0+0322,1.50536e-10,1.77515e-12,1.86746,17.5351,0.507199,0.343633,bcu,2MASS J00205023+0323578
4FGL J0021.5-2552,6.54389e-10,7.31047e-12,2.12144,29.7312,0.316963,0.105979,bll,CRATES J002132.55-255049.3
4FGL J0021.6-0855,1.63079e-10,1.94036e-12,2.27117,10.2745,0.342401,0.433322,bll,NVSS J002142-090044
4FGL J0021.9-5140,5.9852e-10,6.64837e-12,2.06531,30.6836,0.308673,0.105395,bll,1RXS J002159.2-514028
4FGL J0022.0+0006,1.04127e-10,1.71797e-12,1.53308,9.30373,0.0,10.0,bll,RX J0022.0+0006
4FGL J0022.0-5921,2.34718e-10,3.24964e-12,2.44553,16.3248,0.401946,0.209341,,
4FGL J0022.1-1854,8.5713e-10,7.44737e-12,1.94224,15.9172,0.146507,0.102939,bll,1RXS J002209.2-185333
4FGL J0022.5+0608,2.08238e-09,2.02691e-11,2.14897,58.4823,0.254651,0.0711956,bll,PKS 0019+058
4FGL J0023.4+0920,1.21963e-09,7.55293e-12,2.26663,7.4497,0.0,10.0,PSR,PSR J0023+0923
4FGL J0023.6-4209,1.10953e-10,1.23264e-12,2.0517,20.0471,0.665363,0.408841,,
4FGL J0023.7-6820,2.34702e-10,5.37622e-12,2.80686,33.3634,0.376793,0.11975,fsrq,PKS 0021-686
4FGL J0023.7+4457,5.47003e-10,7.50019e-12,2.43646,98.5501,0.702585,0.180821,fsrq,B3 0020+446
4FGL J0023.9+1603,2.57327e-10,2.85839e-12,2.06521,8.71981,0.150688,0.399758,bll,87GB 002122.5+154553
4FGL J0024.0-7204,4.45984e-09,2.66544e-11,2.09582,5.24578,0.0,10.0,glc,NGC 104
