#E(MeV)  aeff(m2)
100  0.3398821218074656
175.56762912750014  0.4852652259332023
313.54241298418987  0.6070726915520628
550.4789807854968  0.7151277013752455
983.0884473994828  0.8271119842829076
1755.6762912750014  0.8939096267190569
3082.3992397451434  0.9273084479371315
5504.789807854973  0.9076620825147347
9664.628954103247  0.9214145383104125
17259.85079325623  0.9135559921414538
30823.992397451435  0.905697445972495
54116.952654646375  0.9135559921414538
98308.84473994828  0.8978388998035363
100000  0.8958742632612966
