,Name,Photon Count,Duration (s),Background Counts,Duration (weeks),MDP99
0,4FGL J0538.8-4405,192.95550037584786,25531200.0,0.0,42.214285714285715,1.0294552101272083
1,4FGL J0538.8-4405,776.3950600868035,81388800.0,0.0,134.57142857142858,0.513209463065763
2,4FGL J0538.8-4405,216.7234280999189,56246400.0,0.0,93.0,0.9713664663524528
3,4FGL J0538.8-4405,46.88585857951364,16848000.0,0.0,27.857142857142858,2.088406810558114
4,4FGL J0538.8-4405,23.697438620275456,8035200.0,0.0,13.285714285714286,2.937550449622919
5,4FGL J0538.8-4405,63.87248499949628,22939200.0,0.0,37.92857142857143,1.7892833924533453
6,4FGL J0538.8-4405,34.75237576598926,14644800.0,0.0,24.214285714285715,2.4257374196622155
7,4FGL J0538.8-4405,52.80382431145058,10238400.0,0.0,16.928571428571427,1.9679014637634502
8,4FGL J0538.8-4405,213.1902397468367,47952000.0,0.0,79.28571428571429,0.9793825876543212
9,4FGL J0538.8-4405,12.763518166033748,3888000.0,0.0,6.428571428571429,4.0026796852632875
10,4FGL J0538.8-4405,38.49453624094338,8812800.0,0.0,14.571428571428571,2.3048172279284307
11,4FGL J0538.8-4405,224.90702591137466,38620800.0,0.0,63.857142857142854,0.9535303617257156
12,4FGL J1104.4+3812,127.13281302576738,9590400.0,0.0,15.857142857142858,1.26825682810252
13,4FGL J1104.4+3812,488.0881683673855,34732800.0,0.0,57.42857142857143,0.6472721145850239
14,4FGL J1104.4+3812,311.4805185001303,22291200.0,0.0,36.857142857142854,0.8102528979094796
15,4FGL J1104.4+3812,22.519896852360223,2332800.0,0.0,3.857142857142857,3.013372627557097
16,4FGL J1104.4+3812,222.48296817668867,18403200.0,0.0,30.428571428571427,0.9587108722825075
17,4FGL J1104.4+3812,1318.2658519156594,59097600.0,0.0,97.71428571428571,0.3938533431882214
18,4FGL J1104.4+3812,559.205928455242,30585600.0,0.0,50.57142857142857,0.6047141820145355
19,4FGL J1104.4+3812,409.3481550971065,25401600.0,0.0,42.0,0.706788734652264
20,4FGL J1104.4+3812,183.35729249645223,13478400.0,0.0,22.285714285714285,1.0560559888087957
21,4FGL J1104.4+3812,319.83140149449576,26179200.0,0.0,43.285714285714285,0.7996049737770959
22,4FGL J1104.4+3812,150.89836144285664,11664000.0,0.0,19.285714285714285,1.1641093447546087
23,4FGL J1104.4+3812,30.135605455633456,2851200.0,0.0,4.714285714285714,2.604930116530659
24,4FGL J1104.4+3812,642.2522748056874,54432000.0,0.0,90.0,0.5642651286439364
25,4FGL J1104.4+3812,190.4865207163024,16329600.0,0.0,27.0,1.0361053417889468
26,4FGL J1104.4+3812,680.7736676778154,50284800.0,0.0,83.14285714285714,0.5480682742538179
27,4FGL J1104.4+3812,193.24178853811114,17884800.0,0.0,29.571428571428573,1.028692357328113
28,4FGL J1104.4+3812,57.49194629924453,5961600.0,0.0,9.857142857142858,1.8859602364447878
29,4FGL J1104.4+3812,123.29987117072552,7516800.0,0.0,12.428571428571429,1.2878186970356567
30,4FGL J1104.4+3812,52.02940423605456,3110400.0,0.0,5.142857142857143,1.9824927645169437
31,4FGL J1104.4+3812,243.17038286727595,14385600.0,0.0,23.785714285714285,0.9170239919133829
32,4FGL J1653.8+3945,55.91251744273047,33825600.0,0.0,55.92857142857143,1.9124122377434072
33,4FGL J1653.8+3945,67.0542744653522,51580800.0,0.0,85.28571428571429,1.7463158813551285
34,4FGL J1653.8+3945,64.8565216426532,39139200.0,0.0,64.71428571428571,1.775657544429025
35,4FGL J1653.8+3945,41.54435299473018,18144000.0,0.0,30.0,2.218605256416063
36,4FGL J1653.8+3945,48.723787332883425,27216000.0,0.0,45.0,2.0486393861406555
37,4FGL J1653.8+3945,53.61026465324067,25142400.0,0.0,41.57142857142857,1.9530441541925687
38,4FGL J1653.8+3945,189.16066523841258,116899200.0,0.0,193.28571428571428,1.0397301101250584
39,4FGL J1653.8+3945,10.69943321952663,9590400.0,0.0,15.857142857142858,4.371753347409303
40,4FGL J1653.8+3945,81.76328387545732,43416000.0,0.0,71.78571428571429,1.5814551307443654
41,4FGL J1653.8+3945,5.09795612639044,3888000.0,0.0,6.428571428571429,6.33341564713007
42,4FGL J1653.8+3945,24.23562610093471,13219200.0,0.0,21.857142857142858,2.9047510382028983
43,4FGL J1653.8+3945,45.948224834652635,23587200.0,0.0,39.0,2.109607538569209
44,4FGL J1653.8+3945,64.2808035157525,43156800.0,0.0,71.35714285714286,1.7835914797213335
45,4FGL J0136.5+3906,0.003816807375776304,2851200.0,0.0,4.714285714285714,231.46531218436016
46,4FGL J0136.5+3906,0.013208791073605423,5961600.0,0.0,9.857142857142858,124.42409827543753
47,4FGL J0156.9-5301,0.9581587372302269,448156800.0,0.0,741.0,14.608892905362802
48,4FGL J1136.4+6736,158.1462952115594,456969600.0,0.0,755.5714285714286,1.1371205973577154
49,4FGL J1221.3+3010,18.363517223249346,103032000.0,0.0,170.35714285714286,3.337014579809181
50,4FGL J1221.3+3010,3.0147896660023727,15940800.0,0.0,26.357142857142858,8.235832938449226
51,4FGL J1221.3+3010,18.964274775919225,150854400.0,0.0,249.42857142857142,3.2837336079182124
52,4FGL J1221.3+3010,1.188473825609658,4406400.0,0.0,7.285714285714286,13.117202608952054
53,4FGL J1221.3+3010,12.523948800234033,56635200.0,0.0,93.64285714285714,4.040781765657524
54,4FGL J1221.3+3010,5.793977611777771,25660800.0,0.0,42.42857142857143,5.940836923215293
55,4FGL J1221.3+3010,4.942537682073673,16977600.0,0.0,28.071428571428573,6.432222263700322
