,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s)
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0
1,4FGL J0136.5+3906,BLL,4.0856442922679616e-05,3484.106711828765,2106.1060532612914,8527680.0,85276800.0,141.0,0.18601583113456466,1983.0098505074582,55078.50001157408,4758782401.0
2,4FGL J0136.5+3906,BLL,1.8308280143287325e-06,10.519205439127166,94.3772312914117,574560.0,5745600.0,9.5,0.012532981530343008,11486.088668901588,56849.50001157408,4911796801.0
3,4FGL J0136.5+3906,BLL,1.4631912103800436e-05,398.22211981703265,754.2594618655588,2721600.0,27216000.0,45.0,0.059366754617414245,3128.150144892908,57437.50001157408,4962600001.0
4,4FGL J0136.5+3906,BLL,3.1443133690566034e-05,2291.5252743545475,1620.8600030240202,7287840.0,72878400.0,120.5,0.15897097625329815,2381.980687967231,58690.50001157408,5070859201.0
5,4FGL J2253.9+1609,FSRQ,9.124182758202159e-05,965.7035031281165,4167.062173451084,1058400.0,10584000.0,17.5,0.02308707124010554,353.74004919315416,54683.00001157408,4724611201.0
6,4FGL J2253.9+1609,FSRQ,0.00043796658212484553,22514.986053874058,20002.16376603693,5140800.0,51408000.0,85.0,0.11213720316622691,162.41183164045586,55050.50001157408,4756363201.0
7,4FGL J2253.9+1609,FSRQ,3.776325242172177e-06,4.5678430129314656,172.46675662166223,120960.0,1209600.0,2.0,0.002638522427440633,2885.764735449128,56548.50001157408,4885790401.0
8,4FGL J2253.9+1609,FSRQ,0.00023613652225859717,6141.060852465981,10784.4789582884,2600640.0,26006400.0,43.0,0.05672823218997362,214.2770237111355,56730.50001157408,4901515201.0
9,4FGL J2253.9+1609,FSRQ,4.9760347229545685e-05,270.85552203986305,2272.5811853300565,544320.0,5443200.0,9.0,0.011873350923482849,465.2094166464325,57045.50001157408,4928731201.0
10,4FGL J2253.9+1609,FSRQ,1.8358750408098584e-05,66.62023348090814,838.4537706530039,362880.0,3628800.0,6.0,0.0079155672823219,1028.5835712271798,57164.50001157408,4939012801.0
11,4FGL J2253.9+1609,FSRQ,0.00011311546533091122,1231.4202017784319,5166.042694498096,1088640.0,10886400.0,18.0,0.023746701846965697,289.4997583514872,57227.50001157408,4944456001.0
12,4FGL J2253.9+1609,FSRQ,8.583877762014449e-05,674.8988051606241,3920.3020447462445,786240.0,7862400.0,13.0,0.017150395778364115,324.2456151741672,57374.50001157408,4957156801.0
13,4FGL J2253.9+1609,FSRQ,3.4567900293729925e-06,4.181333219529572,157.87341567675233,120960.0,1209600.0,2.0,0.002638522427440633,3152.3261933512467,57479.50001157408,4966228801.0
14,4FGL J2253.9+1609,FSRQ,4.241103733516444e-06,5.130039076061491,193.69343435971294,120960.0,1209600.0,2.0,0.002638522427440633,2569.7416703341987,57521.50001157408,4969857601.0
15,4FGL J2253.9+1609,FSRQ,7.965141395412392e-05,626.2512770729039,3637.721897358444,786240.0,7862400.0,13.0,0.017150395778364115,349.3706964401348,57542.50001157408,4971672001.0
16,4FGL J2253.9+1609,FSRQ,0.00013016702623210404,2361.7505239552956,5944.796434012834,1814400.0,18144000.0,30.0,0.0395778364116095,324.545713901307,57647.50001157408,4980744001.0
17,4FGL J2253.9+1609,FSRQ,6.437182105118111e-06,11.6796232115263,293.98948667200267,181440.0,1814400.0,3.0,0.00395778364116095,2073.5872688501145,58067.50001157408,5017032001.0
18,4FGL J2253.9+1609,FSRQ,3.3696440622459422e-06,4.075921457692692,153.8934136008678,120960.0,1209600.0,2.0,0.002638522427440633,3233.7987372248767,58109.50001157408,5020660801.0
19,4FGL J2253.9+1609,FSRQ,3.485838685082009e-06,4.216470473475198,159.20008303538046,120960.0,1209600.0,2.0,0.002638522427440633,3126.073929026655,58151.50001157408,5024289601.0
20,4FGL J2253.9+1609,FSRQ,6.469135626398029e-06,11.737599680536585,295.4488207664936,181440.0,1814400.0,3.0,0.00395778364116095,2063.3533170484243,58564.50001157408,5059972801.0
21,4FGL J2253.9+1609,FSRQ,4.194625884382018e-05,253.69097348742443,1915.707665859079,604800.0,6048000.0,10.0,0.013192612137203167,581.4326555004233,59824.50001157408,5168836801.0
22,4FGL J1642.9+3948,FSRQ,8.10599874851698e-06,36.76881032327302,345.4082961462658,453600.0,4536000.0,7.5,0.009894459102902375,2789.3633275176285,54683.00001157408,4724611201.0
23,4FGL J1642.9+3948,FSRQ,9.234065301135965e-06,16.754288082381095,393.4768387118568,181440.0,1814400.0,3.0,0.00395778364116095,1549.721953866122,54840.50001157408,4738219201.0
24,4FGL J1642.9+3948,FSRQ,0.00010073415036291992,3046.2007069746987,4292.427413335546,3024000.0,30240000.0,50.0,0.06596306068601583,579.738287002033,54910.50001157408,4744267201.0
25,4FGL J1642.9+3948,FSRQ,6.646821516630349e-05,3276.2980874052987,2832.3065005008348,4929120.0,49291200.0,81.5,0.10751978891820581,1121.2571422147469,56153.00001157408,4851619201.0
