,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s),Asymmetry
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0,0
1,4FGL J0538.8-4405,BLL,9.564917618525027e-05,12639.9238538694,4332.547669324829,13214880.0,132148800.0,218.5,0.2520184544405998,1200.039331738413,54683.00001157408,4724611201.0,-0.2036613272311213
2,4FGL J0538.8-4405,BLL,1.6938886467832075e-05,153.6695780361726,767.2678010841117,907200.0,9072000.0,15.0,0.01730103806228374,1775.9231176420997,56282.50001157408,4862808001.0,-0.13333333333333333
3,4FGL J0538.8-4405,BLL,3.307665039401104e-06,9.002141171234046,149.82477663591575,272160.0,2721600.0,4.5,0.005190311418685121,4980.627405399411,56968.50001157408,4922078401.0,0.0
4,4FGL J0538.8-4405,BLL,7.616733255868597e-06,36.85280218519462,345.0093480331638,483840.0,4838400.0,8.0,0.00922722029988466,2884.1035205168632,57500.50001157408,4968043201.0,0.0
5,4FGL J0538.8-4405,BLL,2.4713416587965677e-05,418.50688186724597,1119.4247531402734,1693440.0,16934400.0,28.0,0.03229527104959631,1662.9130178779444,58473.50001157408,5052110401.0,0.10714285714285714
6,4FGL J0538.8-4405,BLL,2.451920506271644e-06,7.414607610965452,111.0627702035045,302400.0,3024000.0,5.0,0.0057670126874279125,7081.710460027418,58697.50001157408,5071464001.0,-0.6
7,4FGL J0538.8-4405,BLL,1.6022450833062228e-06,1.9380756527672072,72.57567161813165,120960.0,1209600.0,2.0,0.002306805074971165,6854.820892504821,58753.50001157408,5076302401.0,0.0
8,4FGL J0538.8-4405,BLL,1.0803623003005333e-05,137.21465503657012,489.3634585130158,1270080.0,12700800.0,21.0,0.02422145328719723,3293.849032895841,58795.50001157408,5079931201.0,-0.7619047619047619
9,4FGL J0538.8-4405,BLL,6.25482493505831e-05,2799.3594093352167,2833.200271577519,4475520.0,44755200.0,74.0,0.0853517877739331,1068.1148031330447,59369.50001157408,5129524801.0,-0.14864864864864866
10,4FGL J0538.8-4405,BLL,1.7315171298002475e-05,251.33317442476553,784.312087600491,1451520.0,14515200.0,24.0,0.02768166089965398,2197.2321377850817,60055.50001157408,5188795201.0,0.08333333333333333
11,4FGL J0538.8-4405,BLL,7.407348955209261e-05,2867.177374790759,3355.250273103398,3870720.0,38707200.0,64.0,0.07381776239907728,838.8709270209782,60237.50001157408,5204520001.0,0.671875
12,4FGL J0538.8-4405,BLL,1.9014522143933323e-05,247.24963434199378,861.2862847712368,1300320.0,13003200.0,21.5,0.024798154555940023,1893.9015969510738,60699.50001157408,5244436801.0,-0.3953488372093023
13,4FGL J1800.6+7828,BLL,3.492378788238279e-06,7.392667418942789,178.06933159445236,211680.0,2116800.0,3.5,0.003972758229284903,3696.3187393367775,54963.00001157408,4748803201.0,0.0
14,4FGL J1800.6+7828,BLL,2.4754409035405424e-06,2.99429331692264,126.21772545966928,120960.0,1209600.0,2.0,0.0022701475595913734,3942.4214105121328,55057.50001157408,4756968001.0,0.0
15,4FGL J1800.6+7828,BLL,7.934791652970495e-06,19.19584796686622,404.57897944639933,241920.0,2419200.0,4.0,0.004540295119182747,1739.9287180875679,55183.50001157408,4767854401.0,0.5
16,4FGL J1800.6+7828,BLL,3.064194415733969e-06,3.7064495652718086,156.23707637980684,120960.0,1209600.0,2.0,0.0022701475595913734,3185.3203680289876,55673.50001157408,4810190401.0,0.0
17,4FGL J1800.6+7828,BLL,7.640414896873783e-06,13.862768788887792,389.5693039863307,181440.0,1814400.0,3.0,0.00340522133938706,1565.249461504798,55883.50001157408,4828334401.0,0.0
18,4FGL J1800.6+7828,BLL,1.806402821502558e-06,2.185024852889494,92.10482668678569,120960.0,1209600.0,2.0,0.0022701475595913734,5401.816416887245,55911.50001157408,4830753601.0,0.0
19,4FGL J1800.6+7828,BLL,8.617210496649239e-06,15.63506672512038,439.3741361947407,181440.0,1814400.0,3.0,0.00340522133938706,1388.0121714761726,55974.50001157408,4836196801.0,-0.3333333333333333
