Name,ph/s_ratio,Aeff_mean_LAT(cm2),Aeff_mean_COSI(cm2)
4FGL J0538.8-4405,6.303819657091852,8312.44425841199,71.54440541637935
4FGL J1104.4+3812,0.35157896025854274,6562.101292160544,82.46969493902259
4FGL J1653.8+3945,2.221304003249548,6639.233561212463,85.17781101205998
4FGL J0136.5+3906,0.9525132513730922,7207.822767829463,85.21356788590262
4FGL J0156.9-5301,9.327892213110038,7014.620741718404,85.55531115122803
4FGL J0244.6-5819,9.214626929368508,6966.640643120313,85.55030919810693
4FGL J0710.4+5908,11.174325536504245,6037.452365024613,85.25927702306925
4FGL J1136.4+6736,17.28865284748273,6920.791914804145,85.57512054855196
4FGL J1221.3+3010,0.19976513322583572,6935.676303883472,82.59744239842998
4FGL J1800.6+7828,8.83530678584035,5883.321857240008,83.03801555327107
4FGL J2000.0+6508,2.91583233573388,5860.053069674829,84.2922348277029
4FGL J2253.9+1609,13.687475434710493,5956.777002089738,82.76641833966178
4FGL J2229.7-0832,24.557003452234436,5988.771091741533,82.64666920344396
4FGL J2147.3-7536,18.57931448826806,6095.0807272589645,82.24317672278613
4FGL J1642.9+3948,32.31887363819313,6728.545740432499,79.7045451197839
4FGL J1626.0-2950,23.9809031028977,6256.736341693325,81.61546205602431
4FGL J1512.8-0906,12.715737381940382,6293.875238208435,81.46913426380452
4FGL J1256.1-0547,8.31393445561094,6480.702654734682,80.72225423927424
4FGL J1229.0+0202,96.23048425125879,5406.233898000008,84.62946665578345
4FGL J1224.9+2122,10.5330294378673,5945.4033066014545,82.80878412555445
4FGL J1153.4+4931,31.773138458756907,5413.897825855878,84.60734595761924
4FGL J0841.3+7053,68.8401154644351,5477.092641715555,84.41934818864105
4FGL J0530.9+1332,41.02462578839934,6411.763459989056,80.99989094017016
4FGL J0403.9-3605,12.254083971781768,6013.709365871024,82.55276421866363
4FGL J2327.5+0939,74.65895559859098,6022.917909547855,82.51796912037139
4FGL J2151.8-3027,115.46731227644747,5605.027546373457,84.01222710509613
4FGL J1924.8-2914,31.31676407564263,5318.815300736271,84.87012663221178
4FGL J1357.1+1921,84.58903846827064,5286.815708590043,84.95234017032196
4FGL J1332.0-0509,22.976521702370963,5879.853003950858,83.05071859168528
4FGL J1222.5+0414,74.45908874408407,5924.184880041157,82.88752264789866
4FGL J1159.5+2914,14.833091812520834,4942.903599629235,85.55436071694115
4FGL J1129.8-1447,73.67550750363546,5250.1957122784615,85.0421005611812
4FGL J1044.6+8053,28.435156650232155,4376.535858409581,84.29505501699272
4FGL J0805.4+6147,107.32191616015322,6167.40979542957,81.96426138875202
4FGL J0746.4+2546,418.61687088311595,4468.406753504189,84.80712757007407
4FGL J0635.6-7518,63.98351077173464,5280.2529893865185,84.96877513782763
4FGL J0539.9-2839,83.44097222709661,6200.289426261245,81.83640820068717
4FGL J0405.6-1308,47.62520281820349,5526.083934324327,84.26730505796843
4FGL J0217.4+7352,111.10051519491965,5712.492252574662,83.64809864814265
4FGL J0304.5+3349,145.59900722851876,5230.327654665874,85.08874182344444
4FGL J1941.3-6210,21.128808395644757,6323.825505633871,81.35059592928876
4FGL J0522.9-3628,29.965150145904765,5398.131324693364,84.65268444552432
4FGL J0433.0+0522,94.56314529551118,4541.584861489135,85.10911004634846
4FGL J0319.8+4130,7.262176983852343,5594.770514984918,84.04601402015854
4FGL J0312.9+4119,90.32129860078233,5886.987638540276,83.02457877305082
4FGL J0324.8+3412,59.6087196809264,4437.793433741101,84.65389602884333
4FGL J1829.5+4845,26.89368774171331,5876.172097631382,83.06418542073328
4FGL J2009.4-4849,0.395741032436311,6637.04826356799,83.26082047257236
4FGL J0507.9+6737,1.7873031439355227,7307.554929244608,85.43907241776022
4FGL J0325.5-5635,3.504719680449976,6190.240280793531,84.98030529842536
4FGL J0608.9-5456,162.86403922888144,4653.098663848359,85.41517503610231
4FGL J0923.5+3852,78.78159593678342,5936.793151121982,82.84078249903715
4FGL J1849.2+6705,11.213626669309098,5802.088785712778,83.33227731065361
4FGL J0224.9+1843,137.38640428023362,5463.797853235872,84.45969370062637
4FGL J0336.4+3224,102.66275820396928,5526.867086099094,84.26483345226225
4FGL J2056.2-4714,16.368186120274387,5670.599150444016,83.79213118941082
4FGL J2148.6+0652,113.2941621242885,5215.232743390935,85.12315930378689
4FGL J0836.5-2026,98.82452419869313,5986.6908770855725,82.65448028049683
4FGL J1740.5+5211,21.665148529290917,5707.553850391199,83.66520594262005
4FGL J1459.0+7140,55.53919151614853,5401.716238398482,84.64243354825169
4FGL J0721.9+7120,5.589212632765872,7015.031675020628,78.48535367457343
4FGL J2202.7+4216,8.058945849526776,5730.385125504376,83.58583939235137
4FGL J2232.6+1143,7.262410191284539,6448.015535799247,80.85418651326911
4FGL J1337.6-1257,28.56801609860131,5298.984443482934,84.92147692234728
