Name,ph/s_ratio,Aeff_mean_LAT(cm2),Aeff_mean_COSI(cm2)
4FGL J0538.8-4405,6.788886271262267,8969.559913207484,62.81197287124668
4FGL J1104.4+3812,12.53446486626871,5475.460248403377,84.83243765532164
4FGL J1653.8+3945,21.267493505486236,5451.827919440073,85.28946613285996
4FGL J0136.5+3906,9.964568763517095,5793.617811648029,85.2047742437496
4FGL J0156.9-5301,37.09753362424455,5633.826138336586,85.5036529955403
4FGL J0244.6-5819,41.148025415224204,5610.794591500725,85.50310050685752
4FGL J0710.4+5908,216.9267647427224,5976.585609909786,85.44742036915255
4FGL J1136.4+6736,53.935089011652025,5577.784471301839,85.53675822505545
4FGL J1221.3+3010,7.10508758511703,5695.461333930457,84.5365584037378
4FGL J1800.6+7828,3.9505113720244633,7230.275388716674,77.53048267873349
4FGL J2000.0+6508,3.0370548004508544,5869.483433463665,84.08979414600618
4FGL J2253.9+1609,3.703561856447691,7339.170871576737,77.0310179343576
4FGL J2229.7-0832,9.272862997125278,7385.261855011518,76.81569648079169
4FGL J2147.3-7536,7.63640533222448,7532.443724363859,76.11004859067667
4FGL J1642.9+3948,25.463097592403983,8221.611683971038,72.19257126323207
4FGL J1626.0-2950,12.168522603482485,7738.444396423407,75.06567859813805
4FGL J1512.8-0906,4.803207027726036,7782.743061792198,74.830478843286
4FGL J1256.1-0547,3.5361052577322236,7988.85445724296,73.67232249067953
4FGL J1229.0+0202,36.944286894785414,6433.509522484022,80.91256717523167
4FGL J1224.9+2122,3.545460443152191,7322.588357001826,77.1078907722449
4FGL J1153.4+4931,10.107630934199507,6447.254801837243,80.85725073190596
4FGL J0841.3+7053,12.5846800243866,6559.744999795809,80.40104768214691
4FGL J0530.9+1332,22.231092462953146,7916.000515482653,74.09499377711224
4FGL J0403.9-3605,3.3311597010146885,7420.615573457307,76.64880749171144
4FGL J2327.5+0939,29.21304840568258,7433.542458352135,76.58739335953612
4FGL J2151.8-3027,35.350845035480084,6781.863136248067,79.48140425488694
4FGL J1924.8-2914,7.125837530707224,6275.429873508859,81.54190207600126
4FGL J1357.1+1921,11.082768773745828,6217.078253478237,81.7708810047519
4FGL J1332.0-0509,9.255553367039251,7225.028644660582,77.5542430319848
4FGL J1222.5+0414,32.756778855527116,7291.377897992098,77.25175883625087
4FGL J1159.5+2914,1.2595558582750277,5587.224246234206,84.07075401778417
4FGL J1129.8-1447,15.970011959760116,6150.070769818119,82.0314234591797
4FGL J1044.6+8053,10.64536746251853,4631.488076157928,85.36903657703759
4FGL J0805.4+6147,63.51060152746782,7627.274258616593,75.63855589442106
4FGL J0746.4+2546,43.861825568294805,4774.933751252111,85.57261113659054
4FGL J0635.6-7518,7.936646557517441,6205.08608918009,81.81770326275675
4FGL J0539.9-2839,43.25363763402246,7668.956782524725,75.42649377351788
4FGL J0405.6-1308,11.541217223349058,6645.774048168777,80.04791179603166
4FGL J0217.4+7352,37.338940632756405,6961.280633868184,78.71812891034202
4FGL J0304.5+3349,16.277280798590407,6113.636132435963,82.17194187336979
4FGL J1941.3-6210,15.053262275526473,7817.652384436735,74.64204695486234
4FGL J0522.9-3628,5.999286887851542,6418.955421229476,80.9710367695438
4FGL J0433.0+0522,28.991889134920946,4892.75452931751,85.58410907386491
4FGL J0319.8+4130,0.5791529389472057,6764.373144068098,79.55477694544156
4FGL J0312.9+4119,86.78107625087887,7235.809894586713,77.50539026095775
4FGL J0324.8+3412,15.727698333407043,4726.574712019612,85.52977156923224
4FGL J1829.5+4845,17.695964416510186,7219.451023862881,77.57947275785301
4FGL J2009.4-4849,12.118486422444994,5500.1204012376,85.01769431393005
4FGL J0507.9+6737,17.460244234847696,5876.64230591117,85.40585298100974
4FGL J0325.5-5635,29.519634300321954,5223.4104263268255,85.2799303069273
4FGL J0608.9-5456,12.301570481502157,5078.084961564655,85.39018734251793
4FGL J0923.5+3852,30.459568850821988,7309.966559301203,77.16619902965944
4FGL J1849.2+6705,3.737095569368698,7105.011118763994,78.09088308576735
4FGL J0224.9+1843,79.10092117936854,6536.213430382684,80.49699591724688
4FGL J0336.4+3224,43.556804182040636,6647.140042023896,80.04227428545474
4FGL J2056.2-4714,3.5676114565440074,6892.200758773403,79.01439377698787
4FGL J2148.6+0652,16.349978692101885,6085.925823952461,82.27823856840725
4FGL J0836.5-2026,55.23027978964905,7382.2901062935925,76.82965497663507
4FGL J1740.5+5211,5.711617558586068,6953.197388881835,78.75295988218866
4FGL J1459.0+7140,19.97459682305074,6425.397518301873,80.9451692575816
4FGL J0721.9+7120,5.386406047667015,8439.59852008407,70.54225743642311
4FGL J2202.7+4216,3.349829608624529,6990.430506687169,78.59214598069534
4FGL J2232.6+1143,2.68681170309254,7954.769679904138,73.87207310060181
4FGL J1337.6-1257,5.061763714312628,6239.292931208401,81.68393031077568
