,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
0,0,0,0,0,0.0,0,0.0,0.0,,0
1,4FGL J0001.2-0747,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
2,4FGL J0001.5+2113,FSRQ,6.5939034506037195e-06,17.945967631163082,209.30448543259422,34020.0,2721600.0,0.005136986301369863,1264.02754907352,0.0
3,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,87.92699844656927,15120.0,1209600.0,0.00228310502283105,2005.6206804326796,0.0
4,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,895.6538972197119,120960.0,9676800.0,0.0182648401826484,557.3380063553444,0.0
5,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,298.1189458200062,41580.0,3326400.0,0.006278538812785388,981.612417577496,0.0
6,4FGL J0001.5+2113,FSRQ,1.3270391993348076e-05,48.1555984654615,561.6405292077754,45360.0,3628800.0,0.00684931506849315,545.6149918247002,-0.8333333333333334
7,4FGL J0001.5+2113,FSRQ,8.366041886121485e-06,65.77716772544156,767.1615444173582,98280.0,7862400.0,0.014840182648401826,586.6380518903852,0.8461538461538461
8,4FGL J0001.5+2113,FSRQ,9.852143413964659e-06,14.896440841914563,173.73774149574442,18900.0,1512000.0,0.0028538812785388126,1136.7364061351557,0.0
9,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,636.7880757062097,94500.0,7560000.0,0.014269406392694063,692.6524227901809,0.0
10,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,392.9408408838919,52920.0,4233600.0,0.007990867579908675,840.2822450535331,0.0
11,4FGL J0001.5+2113,FSRQ,1.032887159342231e-05,168.66634157194895,1967.161791332562,204120.0,16329600.0,0.030821917808219176,330.0056885351037,0.48148148148148145
12,4FGL J0001.5+2113,FSRQ,1.2532932928373508e-05,30.319671340321193,353.61945027424593,30240.0,2419200.0,0.0045662100456621,707.3189978240874,0.75
13,4FGL J0001.5+2113,FSRQ,1.2561966749829203e-05,26.591171216038457,310.13381517295363,26460.0,2116800.0,0.003995433789954338,754.4182516816966,0.0
14,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,197.15308347336344,30240.0,2419200.0,0.0045662100456621,1265.4193698101412,0.0
15,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
16,4FGL J0004.3+4614,FSRQ,nan,nan,,1099980.0,87998400.0,0.17787286063569682,,0.0
17,4FGL J0004.4-4737,FSRQ,3.446587856013638e-06,68.78837906546259,872.7654477856759,249480.0,19958400.0,0.0375,819.8127899963926,0.6666666666666666
18,4FGL J0004.4-4001,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
19,4FGL J0005.9+3824,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
20,4FGL J0007.7+4008,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
21,4FGL J0009.1-5012,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
22,4FGL J0009.3+5030,BLL,3.484404079386788e-07,34.24472329221335,412.29246786063516,1228500.0,98280000.0,0.18486916951080773,3844.9534022652324,0.4553846153846154
23,4FGL J0009.3+5030,BLL,3.4970198311562546e-07,13.007235202382311,156.60179397195873,464940.0,37195200.0,0.06996587030716724,6227.459155582483,-0.8861788617886179
24,4FGL J0009.3+5030,BLL,nan,nan,,162540.0,13003200.0,0.024459613196814563,,0.0
25,4FGL J0009.3+5030,BLL,3.5113680591653937e-07,29.306720550128574,352.84093369392036,1043280.0,83462400.0,0.15699658703071673,4140.2917318288355,-0.7681159420289855
26,4FGL J0009.3+5030,BLL,6.611981175571745e-07,12.396671266455954,149.25085380573987,234360.0,18748800.0,0.03526734926052332,4639.799383803288,0.0
27,4FGL J0010.6+2043,FSRQ,0.00021310427048285433,19526.14761238659,264793.61039629026,1145340.0,91627200.0,0.19104665825977302,6.412962027215626,0.0
28,4FGL J0010.6+2043,FSRQ,0.00026992749157858366,33466.690115879115,453840.9664677497,1549800.0,123984000.0,0.25851197982345525,4.460076351541377,0.0
29,4FGL J0010.6+2043,FSRQ,0.00021889291462774156,1456.250782435439,19748.181258185807,83160.0,6652800.0,0.013871374527112233,23.2291802590738,-0.9090909090909091
30,4FGL J0010.6-3025,FSRQ,1.0584588723994019e-06,52.1727079712134,585.5203414599237,616140.0,49291200.0,0.0930365296803653,1917.9620517019612,0.0
31,4FGL J0010.6-3025,FSRQ,6.848686975492131e-07,20.503325119749324,230.10333164618075,374220.0,29937600.0,0.05650684931506849,3802.8579913408053,0.9494949494949495
32,4FGL J0010.6-3025,FSRQ,6.535558151493711e-07,89.72641643953109,1006.9755631744658,1716120.0,137289600.0,0.2591324200913242,1860.8797566929468,-0.9911894273127754
33,4FGL J0011.4+0057,FSRQ,5.110988166070497e-06,47.91244746401127,589.5475855287577,117180.0,9374400.0,0.018065268065268064,832.4030747479037,0.0
34,4FGL J0011.4+0057,FSRQ,3.0160255633604503e-06,511.6578791320723,6295.7891576224665,2120580.0,169646400.0,0.3269230769230769,331.2507924710488,0.9536541889483066
35,4FGL J0011.4+0057,FSRQ,nan,nan,,41580.0,3326400.0,0.00641025641025641,,0.0
36,4FGL J0011.4+0057,FSRQ,nan,nan,,7560.0,604800.0,0.0011655011655011655,,0.0
37,4FGL J0011.4+0057,FSRQ,2.7574609271330957e-06,260.16312952189503,3201.2254220251793,1179360.0,94348800.0,0.18181818181818182,485.7710150982708,-0.8846153846153846
38,4FGL J0014.1+1910,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
39,4FGL J0014.3-0500,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
40,4FGL J0014.9+3212,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
41,4FGL J0016.2-0016,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
42,4FGL J0017.0-0649,BCU,7.217216152805906e-06,831.5272287158408,10826.374259614906,1440180.0,115214400.0,0.2199769053117783,159.1064044037883,0.0
43,4FGL J0017.0-0649,BCU,7.935771254080877e-06,251.976608859576,3280.7020359337007,396900.0,31752000.0,0.06062355658198614,275.73844380327625,0.0
44,4FGL J0017.0-0649,BCU,nan,nan,,294840.0,23587200.0,0.04503464203233257,,0.0
45,4FGL J0017.5-0514,FSRQ,4.042004619945859e-06,55.00359886822325,662.7402375631041,170100.0,13608000.0,0.025597269624573378,891.639410393606,0.8
46,4FGL J0017.5-0514,FSRQ,3.4707950998289526e-06,87.11418036962685,1049.6417285639795,313740.0,25099200.0,0.047212741751990896,764.3726978004369,0.0
47,4FGL J0017.5-0514,FSRQ,3.962335962166554e-06,9.585683159673327,115.49822311930039,30240.0,2419200.0,0.004550625711035267,2157.1453901332757,-0.5
48,4FGL J0017.5-0514,FSRQ,5.086441292052603e-06,84.59769156941888,1019.3204692356519,207900.0,16632000.0,0.03128555176336746,641.2311245164905,0.0
49,4FGL J0017.5-0514,FSRQ,3.1874885657477873e-06,308.4468935302819,3716.4871335711523,1209600.0,96768000.0,0.1820250284414107,423.8287890947335,0.95
50,4FGL J0017.5-0514,FSRQ,3.872118840987898e-06,11.709287375147404,141.08560269468273,37800.0,3024000.0,0.005688282138794084,1974.2775918791324,0.0
51,4FGL J0017.5-0514,FSRQ,4.731386799591716e-06,30.046198732127234,362.02767264929463,79380.0,6350400.0,0.011945392491467578,1115.4186621291262,-0.6190476190476191
52,4FGL J0019.2-5640,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
53,4FGL J0019.6+7327,FSRQ,7.336334991436699e-06,740.9815722710929,9093.88931103094,1262520.0,101001600.0,0.1928406466512702,177.3225651378778,0.9940119760479041
54,4FGL J0021.5-2552,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
55,4FGL J0021.9-5140,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
56,4FGL J0022.5+0608,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
57,4FGL J0023.7-6820,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
58,4FGL J0023.7+4457,FSRQ,nan,nan,,71820.0,5745600.0,0.010957324106113034,,0.0
59,4FGL J0023.7+4457,FSRQ,7.400630460441611e-07,25.73643248923175,295.1744563331834,434700.0,34776000.0,0.06632064590542099,3195.2105762873325,0.0
60,4FGL J0024.7+0349,FSRQ,5.1286448046123514e-05,7552.893660014955,101271.13872448614,1840860.0,147268800.0,0.2808535178777393,19.678392554745272,0.0
61,4FGL J0024.7+0349,FSRQ,6.161709207022189e-05,9465.56839015383,126916.77292110605,1920240.0,153619200.0,0.29296424452133796,16.121021896603974,0.952755905511811
62,4FGL J0024.7+0349,FSRQ,6.911173897596554e-05,5872.728552439286,78743.05328484555,1062180.0,84974400.0,0.16205305651672433,19.39777709974417,-0.9110320284697508
63,4FGL J0024.7+0349,FSRQ,4.8154091246287266e-05,2723.0560750680493,36511.43547706525,706860.0,56548800.0,0.10784313725490197,33.768367381022344,0.9411764705882353
64,4FGL J0025.7-4801,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
65,4FGL J0029.0-7044,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
66,4FGL J0030.2-1647,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
67,4FGL J0030.3-4224,FSRQ,1.5513195578506497e-05,65.6766648011651,845.7624057176567,52920.0,4233600.0,0.007954545454545454,392.04919365195997,0.0
68,4FGL J0030.3-4224,FSRQ,8.462079650621437e-06,547.6116376784554,7051.961872365054,808920.0,64713600.0,0.1215909090909091,183.17394542771316,0.0
69,4FGL J0030.3-4224,FSRQ,1.5580132443820688e-05,37.69145640809101,485.3781315360539,30240.0,2419200.0,0.004545454545454545,516.4216609173062,0.0
70,4FGL J0030.3-4224,FSRQ,8.68351949600352e-06,417.5175109990428,5376.652660436775,601020.0,48081600.0,0.0903409090909091,207.11066054911277,0.5974842767295597
71,4FGL J0030.3-4224,FSRQ,1.0592246009799986e-05,570.1509444187058,7342.215623062579,672840.0,53827200.0,0.10113636363636364,160.6281062358182,-0.9775280898876404
72,4FGL J0030.6-0212,BCU,2.1209106727891447e-06,67.98451906985235,803.5613319809697,400680.0,32054400.0,0.06162790697674419,1127.5891580882076,-0.8490566037735849
73,4FGL J0030.6-0212,BCU,3.061101979041179e-06,3.70270895384821,43.76516565241905,15120.0,1209600.0,0.002325581395348837,4023.564668433844,0.0
74,4FGL J0030.6-0212,BCU,3.224906767217295e-06,3.9008472256260402,46.10711431609364,15120.0,1209600.0,0.002325581395348837,3819.488043576083,0.0
75,4FGL J0030.6-0212,BCU,2.1610765704075057e-06,117.63171988042136,1390.3797923936536,680400.0,54432000.0,0.10465116279069768,849.2352739270239,0.35555555555555557
76,4FGL J0030.6-0212,BCU,1.9357728345562682e-06,128.78309513735942,1522.1864754074402,831600.0,66528000.0,0.12790697674418605,857.4770962548412,-0.9636363636363636
77,4FGL J0030.6-0212,BCU,2.1155388392945454e-06,41.58303142517359,491.5018386095582,245700.0,19656000.0,0.0377906976744186,1443.6018153371049,0.0
78,4FGL J0030.6-0212,BCU,2.6461298489950166e-06,19.204551992066232,226.9933742266604,90720.0,7257600.0,0.013953488372093023,1899.840011857391,0.0
79,4FGL J0030.6-0212,BCU,nan,nan,,15120.0,1209600.0,0.002325581395348837,,0.0
80,4FGL J0030.6-0212,BCU,1.8228401584223473e-06,7.71717609469685,91.2152411553386,52920.0,4233600.0,0.00813953488372093,3609.5453856394442,-0.5714285714285714
81,4FGL J0030.6-0212,BCU,2.440896099809357e-06,16.23879357281169,191.93879388519602,83160.0,6652800.0,0.012790697674418604,2150.9540315122317,0.0
82,4FGL J0030.6-0212,BCU,3.0572993678870903e-06,16.64149191928301,196.69859544155543,68040.0,5443200.0,0.010465116279069767,1899.0822826493575,0.0
83,4FGL J0030.6-0212,BCU,3.122528774607223e-06,3.777010805764897,44.64339640129703,15120.0,1209600.0,0.002325581395348837,3944.526798038085,0.0
84,4FGL J0030.6-0212,BCU,2.6027045171295773e-06,30.695255993219384,362.81084471694237,147420.0,11793600.0,0.022674418604651164,1515.192244650592,0.0
85,4FGL J0032.3-5522,BCU,1.305831589805085e-07,3.5934396020892247,36.539673231287644,343980.0,27518400.0,0.054819277108433734,22954.14072436327,-0.23076923076923078
86,4FGL J0033.5-1921,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
87,4FGL J0033.9+3858,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
88,4FGL J0034.0-4116,BCU,2.4968156568859076e-05,2099.0030119055896,27690.50727678778,1050840.0,84067200.0,0.16087962962962962,53.631672745534246,0.24820143884892087
89,4FGL J0035.2+1514,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
90,4FGL J0035.8+6131,BCU,1.3600278435815586e-05,1213.2536387022367,15000.158826355992,1115100.0,89208000.0,0.16993087557603687,101.34414146525059,0.0
91,4FGL J0035.8+6131,BCU,2.8089093483518454e-05,3040.902789250921,37596.44591963807,1353240.0,108259200.0,0.20622119815668202,44.85669548979376,0.8603351955307262
92,4FGL J0035.9+5950,BLL,3.887598530645722e-06,11.756097956672663,135.78624480822447,37800.0,3024000.0,0.0056753688989784334,2051.184869248902,0.0
93,4FGL J0035.9+5950,BLL,nan,nan,,143640.0,11491200.0,0.021566401816118047,,0.0
94,4FGL J0036.9+1832,BCU,nan,nan,,15120.0,1209600.0,0.0023121387283236996,,0.0
95,4FGL J0037.8+1239,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
96,4FGL J0038.2-2459,FSRQ,2.8383485346550683e-06,20.599598325112623,247.63087518620415,90720.0,7257600.0,0.013636363636363636,1741.7053547119224,-0.5833333333333334
97,4FGL J0038.2-2459,FSRQ,4.610574938235874e-06,4.182713583967585,50.28103019797377,11340.0,907200.0,0.0017045454545454545,3035.282303954757,0.0
98,4FGL J0038.2-2459,FSRQ,3.4217303971825774e-06,43.45871342853648,522.4237420035273,158760.0,12700800.0,0.023863636363636365,1092.438656927579,-0.5714285714285714
