,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV)
4719,4FGL J1653.8+3945,BLL,nan,nan,,114912000.0,22982400.0,56835.50001157408,0.043132803632236094,,-0.21052631578947367,3.545892903296852e-06
4720,4FGL J1653.8+3945,BLL,nan,nan,,21168000.0,4233600.0,57136.50001157408,0.007945516458569807,,0.0,3.545892903296852e-06
4721,4FGL J1653.8+3945,BLL,nan,nan,,21168000.0,4233600.0,57269.50001157408,0.007945516458569807,,0.0,3.545892903296852e-06
4722,4FGL J1653.8+3945,BLL,4.06962355957083e-06,113.22018312610815,1532.2725170864005,139104000.0,27820800.0,57325.50001157408,0.05221339387060159,11007.082624790472,-0.17391304347826086,3.545892903296852e-06
4723,4FGL J1653.8+3945,BLL,3.550398109326804e-06,17.17824621216681,232.48288278538445,24192000.0,4838400.0,58249.50001157408,0.009080590238365494,30254.015767011977,0.0,3.545892903296852e-06
4724,4FGL J1653.8+3945,BLL,3.985382083113632e-06,16.872513587069875,228.34523094559788,21168000.0,4233600.0,58354.50001157408,0.007945516458569807,28812.858580382,0.0,3.545892903296852e-06
4725,4FGL J1653.8+3945,BLL,4.134093646840646e-06,178.77143838905943,2419.414580688786,216216000.0,43243200.0,58491.00001157408,0.0811577752553916,8691.046788975938,0.34265734265734266,3.545892903296852e-06
4726,4FGL J1653.8+3945,BLL,4.6857346983214416e-06,104.8554967851579,1419.0685048652742,111888000.0,22377600.0,59131.50001157408,0.04199772985244041,10659.263191022286,0.0,3.545892903296852e-06
4727,4FGL J1653.8+3945,BLL,4.553391309058701e-06,24.785019573468322,335.42963170774595,27216000.0,5443200.0,59495.50001157408,0.01021566401816118,22240.750416170657,0.0,3.545892903296852e-06
4728,4FGL J1653.8+3945,BLL,3.6505309272022157e-06,72.8587564574727,986.0385937066471,99792000.0,19958400.0,59936.50001157408,0.03745743473325766,14487.456094216745,0.7878787878787878,3.545892903296852e-06
4729,4FGL J1653.8+3945,BLL,4.6536888372046805e-06,47.847367148603645,647.545372851829,51408000.0,10281600.0,60174.50001157408,0.019296254256526674,15833.755061473017,0.0,3.545892903296852e-06
4730,4FGL J1653.8+3945,BLL,nan,nan,,15120000.0,3024000.0,60419.50001157408,0.0056753688989784334,,0.0,3.545892903296852e-06
4731,4FGL J0136.5+3906,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
4732,4FGL J0156.9-5301,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
4733,4FGL J0244.6-5819,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
4734,4FGL J1136.4+6736,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
4735,4FGL J1221.3+3010,BLL,1.658813294130885e-07,3.912676093132401,50.75168884428618,117936000.0,23587200.0,55036.50001157408,0.04431818181818182,305991.12417127454,0.0,1.318890757868159e-07
4736,4FGL J1221.3+3010,BLL,2.7274478974856087e-07,0.9072582686196129,11.76813215671167,16632000.0,3326400.0,55337.50001157408,0.00625,495565.3038345339,0.0,1.318890757868159e-07
4737,4FGL J1221.3+3010,BLL,1.400391328947858e-07,5.335827057210286,69.2115135750124,190512000.0,38102400.0,55995.50001157408,0.0715909090909091,285179.91657768015,0.0,1.318890757868159e-07
4738,4FGL J1221.3+3010,BLL,1.574695269615308e-07,4.333309430738189,56.20776334663834,137592000.0,27518400.0,57854.00001157408,0.051704545454545454,298425.8324472758,0.0,1.318890757868159e-07
4739,4FGL J1221.3+3010,BLL,1.635721151127961e-07,1.8796398891841624,24.380985423920475,57456000.0,11491200.0,58179.50001157408,0.02159090909090909,444582.7098615249,0.0,1.318890757868159e-07
4740,4FGL J1221.3+3010,BLL,1.4252533204661048e-07,2.025684039312065,26.27533780280233,71064000.0,14212800.0,58382.50001157408,0.026704545454545453,458788.6170787692,0.0,1.318890757868159e-07
4741,4FGL J1221.3+3010,BLL,1.8994948925156739e-07,0.7467294321457617,9.68589755171686,19656000.0,3931200.0,58575.00001157408,0.007386363636363636,654551.534032508,0.0,1.318890757868159e-07
