,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
2,2,4FGL J0001.5+2113,FSRQ,6.59390345060372e-06,17.945967631163082,209.30448543259425,68040.0,2721600.0,56765.50001157408,0.0051369863013698,1784.8701108694322,0.0,5.303845714759447e-06,7.626217102361642e-06
3,3,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,87.92699844656927,30240.0,1209600.0,56814.50001157408,0.002283105022831,2832.2732626957168,0.0,5.303845714759447e-06,6.2325936724884485e-06
4,4,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,895.6538972197119,241920.0,9676800.0,56870.50001157408,0.0182648401826484,786.74530203398,0.0,5.303845714759447e-06,1.2697457916622429e-05
5,5,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,298.1189458200062,83160.0,3326400.0,57280.00001157408,0.0062785388127853,1385.7368199027271,0.0,5.303845714759447e-06,8.94241700835299e-06
6,6,4FGL J0001.5+2113,FSRQ,1.5407281252486975e-05,55.909942209024734,652.079727609961,90720.0,3628800.0,57416.50001157408,0.0068493150684931,662.8909558607037,-0.8333333333333334,5.303845714759447e-06,2.609172754818145e-05
7,7,4FGL J0001.5+2113,FSRQ,1.3945167782256765e-05,109.6424871712156,1278.7643904511924,196560.0,7862400.0,57465.50001157408,0.0148401826484018,497.3947522043545,0.8461538461538461,5.303845714759447e-06,3.46083151751843e-05
8,8,4FGL J0001.5+2113,FSRQ,9.85214341396466e-06,14.896440841914565,173.73774149574442,37800.0,1512000.0,57570.50001157408,0.0028538812785388,1603.92308887517,0.0,5.303845714759447e-06,1.234905205915413e-05
9,9,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,636.7880757062097,189000.0,7560000.0,57644.00001157408,0.014269406392694,977.9179337503238,0.0,5.303845714759447e-06,1.2426475583035971e-05
10,10,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,392.9408408838919,105840.0,4233600.0,57801.50001157408,0.0079908675799086,1186.1468759953686,0.0,5.303845714759447e-06,1.3781387250968248e-05
11,11,4FGL J0001.5+2113,FSRQ,1.032887159342231e-05,168.66634157194895,1967.161791332562,408240.0,16329600.0,57990.50001157408,0.0308219178082191,465.5834951727955,0.4814814814814814,5.303845714759447e-06,1.9975269161515773e-05
12,12,4FGL J0001.5+2113,FSRQ,1.2532932928373508e-05,30.319671340321197,353.61945027424593,60480.0,2419200.0,58312.50001157408,0.0045662100456621,997.4054136708904,0.75,5.303845714759447e-06,1.652992234877371e-05
13,13,4FGL J0001.5+2113,FSRQ,1.2561966749829204e-05,26.591171216038457,310.13381517295363,52920.0,2116800.0,58473.50001157408,0.0039954337899543,1063.813983521521,0.0,5.303845714759447e-06,1.3742675489027325e-05
14,14,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,197.15308347336344,60480.0,2419200.0,60706.50001157408,0.0045662100456621,1786.6729470871117,0.0,5.303845714759447e-06,1.0607022771812636e-05
16,16,4FGL J0004.3+4614,FSRQ,7.519352279418712e-06,661.6909696251996,8381.168135869488,2199960.0,87998400.0,59376.50001157408,0.1778728606356968,253.55055681203592,0.0,6.954892419348258e-06,9.839683508990995e-06
17,17,4FGL J0004.4-4737,FSRQ,3.993017834198519e-06,79.69424714206772,1011.1356923630588,498960.0,19958400.0,59537.50001157408,0.0375,999.9978418339806,0.6666666666666666,3.096546530376466e-06,9.457317616047328e-06
22,22,4FGL J0009.3+5030,BLL,3.484404079386788e-07,34.24472329221335,412.2924678606352,2457000.0,98280000.0,54690.00001157408,0.1848691695108077,5437.129159999611,0.4553846153846154,3.347337150339616e-07,9.93555681967563e-07
23,23,4FGL J0009.3+5030,BLL,4.103514760989334e-07,15.263105223795048,183.7615467421779,929880.0,37195200.0,56139.00001157408,0.0699658703071672,7504.776470248458,-0.8861788617886179,3.347337150339616e-07,1.1166510761936326e-06
24,24,4FGL J0009.3+5030,BLL,8.607885067665876e-07,11.193005111187292,134.7592054019439,325080.0,13003200.0,56867.00001157408,0.0244596131968145,6051.495565864993,0.0,3.347337150339616e-07,1.398011977281792e-06
25,25,4FGL J0009.3+5030,BLL,3.5113680591653937e-07,29.30672055012857,352.8409336939204,2086560.0,83462400.0,57297.50001157408,0.1569965870307167,5854.761798733906,-0.7681159420289855,3.347337150339616e-07,1.0375183227625878e-06
26,26,4FGL J0009.3+5030,BLL,6.611981175571745e-07,12.396671266455954,149.2508538057399,468720.0,18748800.0,60573.50001157408,0.0352673492605233,6560.6231068193865,0.0,3.347337150339616e-07,8.335316694736722e-07
27,27,4FGL J0010.6-3025,FSRQ,1.058458872399402e-06,52.1727079712134,585.5203414599237,1232280.0,49291200.0,55477.50001157408,0.0930365296803653,2711.76407794258,0.0,6.447822340104397e-07,1.3112721412281984e-06
28,28,4FGL J0010.6-3025,FSRQ,8.535918837463375e-07,25.554492378844355,286.79123023002194,748440.0,29937600.0,56247.50001157408,0.0565068493150684,4314.513748901478,0.9494949494949496,6.447822340104397e-07,2.244897905782676e-06
29,29,4FGL J0010.6-3025,FSRQ,6.535558151493711e-07,89.72641643953109,1006.9755631744658,3432240.0,137289600.0,58288.00001157408,0.2591324200913242,2631.2955370417594,-0.9911894273127754,6.447822340104397e-07,2.5491130425476178e-06
30,30,4FGL J0011.4+0057,FSRQ,5.110988166070497e-06,47.91244746401127,589.5475855287577,234360.0,9374400.0,54812.50001157408,0.018065268065268,1175.72155111885,0.0,2.661967034946924e-06,6.205033556251721e-06
31,31,4FGL J0011.4+0057,FSRQ,3.0160255633604503e-06,511.6578791320723,6295.7891576224665,4241160.0,169646400.0,55579.00001157408,0.3269230769230769,468.1125619213304,0.9536541889483066,2.661967034946924e-06,7.739962909640305e-06
32,32,4FGL J0011.4+0057,FSRQ,7.554900505331043e-06,25.130621040933185,309.22438200738856,83160.0,3326400.0,57556.50001157408,0.0064102564102564,1336.0585671570711,0.0,2.661967034946924e-06,9.176918048982809e-06
33,33,4FGL J0011.4+0057,FSRQ,1.2312092898457364e-05,7.446353784987013,91.62503957305644,15120.0,604800.0,58557.50001157408,0.0011655011655011,1924.906628792864,0.0,2.661967034946924e-06,1.2312092898457364e-05
34,34,4FGL J0011.4+0057,FSRQ,2.924893156734912e-06,275.96015946615086,3395.6029033499835,2358720.0,94348800.0,59597.00001157408,0.1818181818181818,647.2465070593217,-0.8846153846153846,2.661967034946924e-06,1.1103744258555712e-05
